Time,fms,HR,individual,simulation,CSS
07-46-14,5.0,76.22,11,roller,High
07-46-15,5.0,76.18,11,roller,High
07-46-16,5.0,76.18,11,roller,High
07-46-17,5.0,76.17,11,roller,High
07-46-18,5.0,76.13,11,roller,High
07-46-19,5.0,76.1,11,roller,High
07-46-20,5.0,76.07,11,roller,High
07-46-21,5.0,76.02,11,roller,High
07-46-22,5.0,75.93,11,roller,High
07-46-23,5.0,75.82,11,roller,High
07-46-24,5.0,75.65,11,roller,High
07-46-25,5.0,75.73,11,roller,High
07-46-26,5.0,75.82,11,roller,High
07-46-27,5.0,75.95,11,roller,High
07-46-28,5.0,76.07,11,roller,High
07-46-29,5.0,76.17,11,roller,High
07-46-30,5.0,76.25,11,roller,High
07-46-31,5.0,76.33,11,roller,High
07-46-32,5.0,76.43,11,roller,High
07-46-33,5.0,76.48,11,roller,High
07-46-34,5.0,76.5,11,roller,High
07-46-35,5.0,76.48,11,roller,High
07-46-36,5.0,76.45,11,roller,High
07-46-37,5.0,76.42,11,roller,High
07-46-38,5.0,76.4,11,roller,High
07-46-39,5.0,76.38,11,roller,High
07-46-40,5.0,76.38,11,roller,High
07-46-41,5.0,76.35,11,roller,High
07-46-42,5.0,76.33,11,roller,High
07-46-43,5.0,76.32,11,roller,High
