Time,fms,HR,individual,simulation,CSS
08-14-10,0,78.03,11,room,Low
08-14-11,0,77.77,11,room,Low
08-14-12,0,77.53,11,room,Low
08-14-13,0,77.28,11,room,Low
08-14-14,0,77.02,11,room,Low
08-14-15,0,76.77,11,room,Low
08-14-16,0,76.5,11,room,Low
08-14-17,0,76.23,11,room,Low
08-14-18,0,76.08,11,room,Low
08-14-19,0,75.9,11,room,Low
08-14-20,0,75.7,11,room,Low
08-14-21,0,75.48,11,room,Low
08-14-22,0,75.27,11,room,Low
08-14-23,0,75.07,11,room,Low
08-14-24,0,74.78,11,room,Low
08-14-25,0,74.53,11,room,Low
08-14-26,0,74.32,11,room,Low
08-14-27,0,74.13,11,room,Low
08-14-28,0,73.98,11,room,Low
08-14-29,0,73.98,11,room,Low
08-14-30,0,73.98,11,room,Low
08-14-31,0,73.98,11,room,Low
08-14-32,0,73.97,11,room,Low
08-14-33,0,73.92,11,room,Low
08-14-34,0,73.83,11,room,Low
08-14-35,0,73.75,11,room,Low
08-14-36,0,73.67,11,room,Low
08-14-37,0,73.58,11,room,Low
08-14-38,0,73.5,11,room,Low
08-14-39,0,73.42,11,room,Low
