Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
07-32-10,2.512,1,0.773,0.858,3.97,3.959,0.424,0.49,0.499,0.445,-0.003,0.004,-0.024,-0.032,-0.232,0.967,-41.062,3.382,41.807,-0.011,0.641,0.711,36.469,4.897,-31.541,-32.188,4.782,-25.233,0.039,-0.235,0.823,0.025,-0.231,0.825,,11,walk,Mid
07-32-11,0.797,1,0.376,0.809,4.911,4.943,0.433,0.441,0.488,0.388,0.004,0.007,-0.029,-0.048,-0.396,0.912,-47.882,3.891,48.877,-0.008,-0.446,0.882,36.21,6.718,-31.107,-31.996,7.139,-26.594,0.028,-0.394,0.914,0.064,-0.348,0.925,,11,walk,Mid
07-32-12,1.861,1,0.97,0.995,4.801,4.925,0.429,0.401,0.504,0.347,-0.001,0.008,-0.028,-0.031,-0.306,0.945,-47.897,3.905,48.894,-0.019,-0.303,0.953,36.334,7.446,-30.971,-32.286,7.924,-25.81,0.031,-0.315,0.941,0.022,-0.305,0.947,,11,walk,Mid
07-32-13,3.057,1,0.974,0.999,4.746,5.052,0.498,0.37,0.574,0.328,-0.004,0.008,-0.028,0.157,-0.267,0.948,-47.936,3.913,48.889,-0.028,-0.19,0.981,35.168,8.081,-30.841,-33.5,8.292,-25.783,-0.161,-0.26,0.95,-0.155,-0.266,0.949,,11,walk,Mid
07-32-14,2.176,1,1.0,1.0,4.866,5.188,0.478,0.342,0.555,0.303,-0.003,0.009,-0.028,0.118,-0.196,0.958,-47.944,3.911,48.879,-0.107,-0.156,0.952,35.45,8.52,-30.884,-33.124,8.63,-25.584,-0.1,-0.185,0.955,-0.116,-0.201,0.957,,11,walk,Mid
07-32-15,1.04,1,0.977,1.0,4.67,4.837,0.434,0.384,0.491,0.333,0.005,0.008,-0.028,-0.036,-0.304,0.927,-47.896,3.916,48.874,-0.561,-0.273,0.728,36.252,7.958,-31.119,-31.989,8.233,-25.241,0.008,-0.312,0.919,0.039,-0.31,0.932,,11,walk,Mid
07-32-16,1.305,1,0.332,0.738,4.317,4.541,0.434,0.424,0.508,0.367,0.003,0.008,-0.029,-0.009,-0.411,0.904,-47.958,3.924,48.821,-0.75,-0.099,0.604,36.242,7.377,-31.313,-32.344,7.749,-25.454,0.018,-0.418,0.9,0.008,-0.398,0.912,,11,walk,Mid
07-32-17,0.786,1,0.163,0.634,4.302,4.435,0.424,0.413,0.503,0.355,-0.004,0.008,-0.028,-0.024,-0.366,0.924,-48.016,3.932,48.831,-0.945,0.011,0.254,36.392,7.548,-31.309,-32.243,7.837,-25.449,0.047,-0.391,0.912,0.019,-0.347,0.932,,11,walk,Mid
07-32-18,0.205,1,0.1,0.339,4.445,4.522,0.44,0.39,0.516,0.316,0.007,0.008,-0.029,0.005,-0.268,0.961,-47.991,3.933,48.863,-0.989,0.076,0.089,36.153,7.786,-31.204,-32.475,8.229,-25.063,-0.003,-0.306,0.948,-0.013,-0.22,0.973,,11,walk,Mid
07-32-19,1.006,1,0.133,0.768,4.754,4.889,0.416,0.437,0.476,0.381,-0.005,0.007,-0.028,-0.079,-0.428,0.896,-47.986,3.903,48.855,-0.9,-0.418,0.03,36.552,7.158,-31.605,-31.803,7.426,-25.316,0.061,-0.439,0.891,0.095,-0.42,0.9,,11,walk,Mid
07-32-20,0.915,1,0.455,0.885,5.094,5.36,0.418,0.419,0.474,0.362,-0.004,0.007,-0.028,-0.075,-0.363,0.927,-48.008,3.88,48.87,-0.817,-0.573,-0.018,36.567,7.329,-31.553,-31.728,7.605,-25.324,0.042,-0.372,0.925,0.099,-0.352,0.93,,11,walk,Mid
07-32-21,1.015,1,0.499,0.948,5.259,5.499,0.398,0.411,0.453,0.355,-0.002,0.008,-0.028,-0.105,-0.328,0.939,-48.007,3.867,48.877,-0.773,-0.634,-0.004,36.996,7.394,-31.615,-31.254,7.658,-25.391,0.071,-0.338,0.938,0.132,-0.319,0.939,,11,walk,Mid
07-32-22,1.456,1,0.667,0.975,5.281,5.473,0.415,0.365,0.474,0.315,-0.005,0.008,-0.028,-0.062,-0.225,0.966,-47.982,3.864,48.854,-0.808,-0.54,0.161,36.657,8.21,-31.746,-31.648,8.315,-25.242,0.039,-0.224,0.968,0.083,-0.224,0.965,,11,walk,Mid
07-32-23,2.123,1,0.781,1.0,5.164,5.283,0.375,0.358,0.446,0.311,0.003,0.008,-0.029,-0.163,-0.208,0.957,-48.002,3.878,48.822,-0.871,-0.457,0.024,37.197,8.465,-32.402,-31.185,8.413,-25.396,0.168,-0.202,0.958,0.156,-0.213,0.959,,11,walk,Mid
07-32-24,3.76,1,1.0,1.0,5.475,5.573,0.422,0.331,0.49,0.28,0.001,0.009,-0.029,-0.048,-0.133,0.99,-48.046,3.867,48.824,-0.855,-0.506,-0.113,36.404,8.847,-32.347,-31.984,8.951,-25.518,0.044,-0.128,0.991,0.05,-0.137,0.989,,11,walk,Mid
07-32-25,0.278,1,0.171,0.309,5.237,5.659,0.398,0.366,0.467,0.271,0.015,0.008,-0.03,-0.112,-0.155,0.967,-47.999,3.908,48.828,-0.991,-0.053,-0.029,36.725,8.103,-32.305,-31.644,8.579,-24.799,0.128,-0.18,0.958,0.121,-0.047,0.981,,11,walk,Mid
07-32-26,0.699,1,0.086,0.416,4.48,4.659,0.337,0.378,0.478,0.353,0.018,0.006,-0.027,-0.097,-0.288,0.929,-40.79,3.267,41.694,-0.456,-0.451,0.164,36.945,7.129,-32.626,-31.186,7.914,-27.296,0.114,-0.304,0.811,0.059,-0.228,0.828,,11,walk,Mid
07-32-27,1.418,1,0.509,0.943,5.316,5.439,0.396,0.427,0.44,0.362,0.008,0.007,-0.03,-0.1,-0.304,0.937,-47.955,3.775,49.063,-0.127,-0.902,0.325,36.973,7.137,-32.89,-30.926,7.724,-26.867,0.083,-0.308,0.938,0.134,-0.303,0.934,,11,walk,Mid
07-32-28,1.806,1,0.586,0.872,4.99,4.842,0.42,0.378,0.503,0.321,0.012,0.008,-0.03,-0.056,-0.261,0.95,-48.029,3.888,48.977,-0.07,-0.389,0.853,36.521,8.223,-32.72,-32.146,8.598,-26.618,0.036,-0.256,0.953,0.042,-0.249,0.917,,11,walk,Mid
07-32-29,2.065,1,0.824,0.923,4.445,4.717,0.467,0.445,0.544,0.393,-0.003,0.007,-0.029,0.072,-0.42,0.904,-48.047,3.924,48.913,-0.026,-0.15,0.988,35.661,7.209,-32.884,-33.003,7.317,-26.478,-0.07,-0.426,0.901,-0.075,-0.414,0.907,,11,walk,Mid
07-32-30,2.771,1,0.66,0.862,4.252,4.734,0.463,0.424,0.533,0.376,-0.002,0.007,-0.028,0.052,-0.362,0.923,-46.189,3.764,47.04,-0.045,-0.211,0.963,35.698,7.533,-32.718,-32.84,7.587,-26.341,-0.058,-0.35,0.849,-0.042,-0.357,0.886,,11,walk,Mid
07-32-31,2.497,1,0.627,0.929,4.608,4.821,0.439,0.406,0.508,0.355,-0.004,0.008,-0.029,-0.026,-0.341,0.934,-48.037,3.907,48.914,-0.064,-0.287,0.945,36.102,7.859,-32.583,-32.437,7.943,-26.172,0.009,-0.345,0.934,0.031,-0.335,0.936,,11,walk,Mid
07-32-32,4.075,1,1.0,1.0,4.628,4.911,0.48,0.4,0.557,0.357,-0.004,0.008,-0.029,0.087,-0.322,0.943,-48.064,3.911,48.89,-0.021,-0.164,0.986,35.347,7.885,-32.481,-33.315,7.838,-26.226,-0.087,-0.323,0.942,-0.087,-0.32,0.943,,11,walk,Mid
07-32-33,1.901,1,0.922,0.996,4.845,5.079,0.465,0.389,0.538,0.343,-0.004,0.008,-0.029,0.045,-0.287,0.954,-48.048,3.91,48.901,-0.027,-0.175,0.981,35.619,7.977,-32.402,-32.972,8.041,-26.081,-0.048,-0.28,0.956,-0.041,-0.291,0.953,,11,walk,Mid
07-32-34,2.305,1,0.687,0.925,4.737,4.866,0.434,0.389,0.501,0.337,-0.005,0.008,-0.029,-0.045,-0.298,0.947,-48.036,3.906,48.91,-0.067,-0.268,0.951,36.174,8.04,-32.384,-32.335,8.213,-26.018,0.029,-0.294,0.949,0.053,-0.293,0.948,,11,walk,Mid
07-32-35,2.927,1,0.999,0.994,4.681,4.915,0.46,0.387,0.538,0.334,-0.004,0.008,-0.029,0.04,-0.273,0.961,-48.074,3.911,48.875,-0.011,-0.131,0.991,35.747,7.969,-32.268,-32.976,8.203,-25.989,-0.043,-0.271,0.961,-0.038,-0.275,0.96,,11,walk,Mid
07-32-36,4.078,1,0.984,0.999,4.902,5.097,0.433,0.388,0.512,0.328,-0.003,0.008,-0.029,-0.023,-0.247,0.967,-48.061,3.916,48.864,0.003,-0.07,0.997,36.195,7.818,-32.312,-32.515,8.209,-25.931,0.024,-0.244,0.967,0.024,-0.247,0.967,,11,walk,Mid
07-32-37,2.553,1,0.867,0.992,4.94,5.106,0.411,0.384,0.483,0.322,0.006,0.008,-0.029,-0.087,-0.251,0.96,-48.042,3.917,48.894,-0.063,-0.123,0.983,36.598,7.932,-32.261,-31.961,8.287,-25.534,0.079,-0.251,0.961,0.09,-0.247,0.96,,11,walk,Mid
07-32-38,2.283,1,1.0,1.0,4.768,4.971,0.446,0.422,0.527,0.362,-0.003,0.007,-0.029,0.007,-0.34,0.94,-48.097,3.926,48.884,-0.007,0.034,0.999,35.947,7.343,-32.346,-32.79,7.603,-25.688,-0.002,-0.347,0.938,-0.013,-0.333,0.942,,11,walk,Mid
07-32-39,1.228,1,0.835,0.965,5.109,5.384,0.446,0.429,0.518,0.374,-0.002,0.007,-0.029,0.01,-0.35,0.936,-48.103,3.926,48.878,-0.055,0.024,0.99,35.978,7.209,-32.359,-32.585,7.328,-25.776,-0.013,-0.362,0.931,0.001,-0.343,0.938,,11,walk,Mid
