Time,fms,EDA,individual,simulation,CSS
11-51-18,0,3.721,12,beach,Low
11-51-19,0,3.695,12,beach,Low
11-51-20,0,3.686,12,beach,Low
11-51-21,0,3.671,12,beach,Low
11-51-22,0,3.675,12,beach,Low
11-51-23,0,3.707,12,beach,Low
11-51-24,0,3.688,12,beach,Low
11-51-25,0,3.665,12,beach,Low
11-51-26,0,3.667,12,beach,Low
11-51-27,0,3.656,12,beach,Low
11-51-28,0,3.649,12,beach,Low
11-51-29,0,3.645,12,beach,Low
11-51-30,0,3.637,12,beach,Low
11-51-31,0,3.641,12,beach,Low
11-51-32,0,3.647,12,beach,Low
11-51-33,0,3.645,12,beach,Low
11-51-34,0,3.654,12,beach,Low
11-51-35,0,3.65,12,beach,Low
11-51-36,0,3.666,12,beach,Low
11-51-37,0,3.75,12,beach,Low
11-51-38,0,3.756,12,beach,Low
11-51-39,0,3.72,12,beach,Low
11-51-40,0,3.698,12,beach,Low
11-51-41,0,3.686,12,beach,Low
11-51-42,0,3.675,12,beach,Low
11-51-43,0,3.662,12,beach,Low
11-51-44,0,3.696,12,beach,Low
11-51-45,0,3.924,12,beach,Low
11-51-46,0,3.98,12,beach,Low
11-51-47,0,3.9,12,beach,Low
