Time,fms,HR,individual,simulation,CSS
11-40-16,2,142.75,13,beach,High
11-40-17,2,141.12,13,beach,High
11-40-18,2,139.48,13,beach,High
11-40-19,2,137.87,13,beach,High
11-40-20,2,136.23,13,beach,High
11-40-21,2,134.6,13,beach,High
11-40-22,2,132.9,13,beach,High
11-40-23,2,131.2,13,beach,High
11-40-24,2,129.58,13,beach,High
11-40-25,2,127.95,13,beach,High
11-40-26,2,126.32,13,beach,High
11-40-27,2,124.68,13,beach,High
11-40-28,2,123.02,13,beach,High
11-40-29,2,121.33,13,beach,High
11-40-30,2,119.73,13,beach,High
11-40-31,2,118.12,13,beach,High
11-40-32,2,116.48,13,beach,High
11-40-33,2,114.93,13,beach,High
11-40-34,2,113.68,13,beach,High
11-40-35,2,112.38,13,beach,High
11-40-36,2,111.07,13,beach,High
11-40-37,2,109.72,13,beach,High
11-40-38,2,108.37,13,beach,High
11-40-39,2,107.0,13,beach,High
11-40-40,2,105.6,13,beach,High
11-40-41,2,104.17,13,beach,High
11-40-42,2,102.77,13,beach,High
11-40-43,2,101.4,13,beach,High
11-40-44,2,100.03,13,beach,High
11-40-45,2,99.88,13,beach,High
