Time,fms,HR,individual,simulation,CSS
11-52-33,2,84.38,13,roller,High
11-52-34,2,84.42,13,roller,High
11-52-35,2,84.45,13,roller,High
11-52-36,2,84.5,13,roller,High
11-52-37,2,84.58,13,roller,High
11-52-38,2,84.67,13,roller,High
11-52-39,2,84.75,13,roller,High
11-52-40,2,84.83,13,roller,High
11-52-41,2,84.93,13,roller,High
11-52-42,2,85.03,13,roller,High
11-52-43,2,85.1,13,roller,High
11-52-44,2,85.17,13,roller,High
11-52-45,2,85.23,13,roller,High
11-52-46,2,85.3,13,roller,High
11-52-47,2,85.38,13,roller,High
11-52-48,2,85.5,13,roller,High
11-52-49,2,85.63,13,roller,High
11-52-50,2,85.78,13,roller,High
11-52-51,2,85.92,13,roller,High
11-52-52,2,86.05,13,roller,High
11-52-53,2,86.18,13,roller,High
11-52-54,2,86.32,13,roller,High
11-52-55,2,86.45,13,roller,High
11-52-56,2,86.57,13,roller,High
11-52-57,2,86.68,13,roller,High
11-52-58,2,86.8,13,roller,High
11-52-59,2,86.88,13,roller,High
11-53-00,2,86.97,13,roller,High
11-53-01,2,87.05,13,roller,High
11-53-02,2,87.13,13,roller,High
