Time,fms,EDA,individual,simulation,CSS
12-06-40,1,2.657,13,room,Mid
12-06-41,1,2.676,13,room,Mid
12-06-42,1,2.642,13,room,Mid
12-06-43,1,2.647,13,room,Mid
12-06-44,1,2.641,13,room,Mid
12-06-45,1,2.627,13,room,Mid
12-06-46,1,2.632,13,room,Mid
12-06-47,1,2.614,13,room,Mid
12-06-48,1,2.601,13,room,Mid
12-06-49,1,2.578,13,room,Mid
12-06-50,1,2.567,13,room,Mid
12-06-51,1,2.584,13,room,Mid
12-06-52,1,2.611,13,room,Mid
12-06-53,1,2.614,13,room,Mid
12-06-54,1,2.62,13,room,Mid
12-06-55,1,2.631,13,room,Mid
12-06-56,1,2.634,13,room,Mid
12-06-57,1,2.637,13,room,Mid
12-06-58,1,2.634,13,room,Mid
12-06-59,1,2.637,13,room,Mid
12-07-00,1,2.608,13,room,Mid
12-07-01,1,2.644,13,room,Mid
12-07-02,1,2.57,13,room,Mid
12-07-03,1,2.619,13,room,Mid
12-07-04,1,2.618,13,room,Mid
12-07-05,1,2.619,13,room,Mid
12-07-06,1,2.582,13,room,Mid
12-07-07,1,2.598,13,room,Mid
12-07-08,1,2.595,13,room,Mid
12-07-09,1,2.583,13,room,Mid
