Time,fms,HR,individual,simulation,CSS
12-07-44,1,93.37,13,room,Mid
12-07-45,1,93.35,13,room,Mid
12-07-46,1,93.32,13,room,Mid
12-07-47,1,93.27,13,room,Mid
12-07-48,1,93.23,13,room,Mid
12-07-49,1,93.22,13,room,Mid
12-07-50,1,93.22,13,room,Mid
12-07-51,1,93.25,13,room,Mid
12-07-52,1,93.27,13,room,Mid
12-07-53,1,93.28,13,room,Mid
12-07-54,1,93.3,13,room,Mid
12-07-55,1,93.32,13,room,Mid
12-07-56,1,93.43,13,room,Mid
12-07-57,1,93.53,13,room,Mid
12-07-58,1,93.62,13,room,Mid
12-07-59,1,93.72,13,room,Mid
12-08-00,1,93.82,13,room,Mid
12-08-01,1,93.93,13,room,Mid
12-08-02,1,93.97,13,room,Mid
12-08-03,1,94.03,13,room,Mid
12-08-04,1,94.12,13,room,Mid
12-08-05,1,94.22,13,room,Mid
12-08-06,1,94.32,13,room,Mid
12-08-07,1,94.43,13,room,Mid
12-08-08,1,94.53,13,room,Mid
12-08-09,1,94.68,13,room,Mid
12-08-10,1,94.9,13,room,Mid
12-08-11,1,95.07,13,room,Mid
12-08-12,1,95.2,13,room,Mid
12-08-13,1,95.3,13,room,Mid
