Time,fms,EDA,individual,simulation,CSS
12-21-51,2,1.829,13,sea,High
12-21-52,2,1.823,13,sea,High
12-21-53,2,1.822,13,sea,High
12-21-54,2,1.828,13,sea,High
12-21-55,2,1.873,13,sea,High
12-21-56,2,1.892,13,sea,High
12-21-57,2,1.902,13,sea,High
12-21-58,2,1.917,13,sea,High
12-21-59,2,1.898,13,sea,High
12-22-00,2,1.88,13,sea,High
12-22-01,2,1.874,13,sea,High
12-22-02,2,1.875,13,sea,High
12-22-03,2,1.875,13,sea,High
12-22-04,2,1.868,13,sea,High
12-22-05,2,1.861,13,sea,High
12-22-06,2,1.858,13,sea,High
12-22-07,2,1.855,13,sea,High
12-22-08,2,1.853,13,sea,High
12-22-09,2,1.851,13,sea,High
12-22-10,2,1.846,13,sea,High
12-22-11,2,1.845,13,sea,High
12-22-12,2,1.846,13,sea,High
12-22-13,2,1.841,13,sea,High
12-22-14,2,1.84,13,sea,High
12-22-15,2,1.838,13,sea,High
12-22-16,2,1.838,13,sea,High
12-22-17,2,1.835,13,sea,High
12-22-18,2,1.837,13,sea,High
12-22-19,2,1.844,13,sea,High
12-22-20,2,2.052,13,sea,High
