Time,fms,EDA,individual,simulation,CSS
12-31-39,2,1.914,13,walk,High
12-31-40,2,1.921,13,walk,High
12-31-41,2,1.915,13,walk,High
12-31-42,2,1.914,13,walk,High
12-31-43,2,1.914,13,walk,High
12-31-44,2,1.916,13,walk,High
12-31-45,2,1.914,13,walk,High
12-31-46,2,1.913,13,walk,High
12-31-47,2,1.92,13,walk,High
12-31-48,2,1.909,13,walk,High
12-31-49,2,1.892,13,walk,High
12-31-50,2,1.883,13,walk,High
12-31-51,2,1.865,13,walk,High
12-31-52,2,1.844,13,walk,High
12-31-53,2,1.843,13,walk,High
12-31-54,2,1.864,13,walk,High
12-31-55,2,1.825,13,walk,High
12-31-56,2,1.811,13,walk,High
12-31-57,2,1.822,13,walk,High
12-31-58,2,1.817,13,walk,High
12-31-59,2,1.795,13,walk,High
12-32-00,2,1.824,13,walk,High
12-32-01,2,1.817,13,walk,High
12-32-02,2,1.799,13,walk,High
12-32-03,2,1.797,13,walk,High
12-32-04,2,1.797,13,walk,High
12-32-05,2,1.799,13,walk,High
12-32-06,2,1.803,13,walk,High
12-32-07,2,1.796,13,walk,High
12-32-08,2,1.786,13,walk,High
