Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
12-31-39,0.379,2,0.319,0.262,4.522,4.155,0.407,0.857,0.364,0.816,0.012,-0.006,-0.025,-0.067,-0.494,0.866,-48.047,3.81,48.226,-0.375,-0.902,-0.213,35.115,-5.727,-26.468,-27.071,-5.511,-23.65,0.018,-0.515,0.857,0.152,-0.454,0.877,,13,walk,High
12-31-40,0.311,2,0.346,0.245,4.497,4.2,0.411,0.852,0.372,0.806,0.012,-0.006,-0.025,-0.06,-0.484,0.873,-48.046,3.814,48.217,-0.409,-0.884,-0.225,35.041,-5.616,-26.468,-27.238,-5.487,-23.613,0.009,-0.515,0.857,0.146,-0.423,0.893,,13,walk,High
12-31-41,1.548,2,0.786,0.716,3.871,3.694,0.308,0.497,0.305,0.464,-0.011,-0.003,-0.021,0.099,-0.083,0.969,-42.686,3.412,42.844,-0.735,-0.421,0.08,34.252,-3.581,-26.428,-28.531,-3.397,-23.208,-0.113,-0.09,0.819,-0.066,-0.052,0.793,,13,walk,High
12-31-42,0.382,2,0.501,0.38,4.02,4.195,0.411,0.822,0.36,0.782,0.006,-0.005,-0.025,-0.092,-0.417,0.903,-48.014,3.839,48.224,-0.608,-0.759,-0.223,34.996,-5.061,-27.091,-27.009,-5.014,-23.54,0.025,-0.441,0.896,0.169,-0.396,0.902,,13,walk,High
12-31-43,1.182,2,0.761,0.691,4.116,4.248,0.458,0.722,0.437,0.68,-0.004,-0.004,-0.025,0.057,-0.173,0.956,-48.024,3.845,48.22,-0.798,-0.527,-0.089,34.366,-3.839,-26.928,-28.118,-3.711,-23.465,-0.092,-0.185,0.948,-0.01,-0.156,0.96,,13,walk,High
12-31-44,2.56,2,0.785,0.723,4.17,4.314,0.477,0.688,0.466,0.646,-0.004,-0.003,-0.025,0.107,-0.106,0.945,-48.032,3.853,48.211,-0.788,-0.398,0.144,34.105,-3.275,-26.988,-28.527,-3.134,-23.525,-0.142,-0.106,0.939,-0.079,-0.08,0.952,,13,walk,High
12-31-45,2.753,2,1.0,1.0,3.851,3.95,0.474,0.645,0.485,0.61,0.001,-0.003,-0.025,0.114,0.011,0.982,-47.988,3.875,48.052,-0.126,-0.095,0.953,34.117,-2.853,-26.693,-28.843,-2.779,-23.305,-0.121,0.004,0.98,-0.116,0.01,0.983,,13,walk,High
12-31-46,1.479,2,1.0,1.0,3.796,3.942,0.469,0.709,0.481,0.676,-0.003,-0.004,-0.024,0.094,-0.169,0.981,-47.973,3.887,47.996,-0.029,-0.148,0.988,34.123,-3.815,-26.218,-28.869,-3.705,-23.015,-0.098,-0.18,0.979,-0.093,-0.161,0.982,,13,walk,High
12-31-47,1.163,2,0.895,0.896,3.868,3.873,0.458,0.718,0.458,0.689,0.003,-0.004,-0.025,0.063,-0.199,0.968,-47.983,3.881,47.984,-0.05,-0.215,0.959,34.248,-3.815,-26.3,-28.531,-3.941,-22.867,-0.067,-0.211,0.967,-0.052,-0.175,0.937,,13,walk,High
12-31-48,0.292,2,0.428,0.369,3.553,3.946,0.438,0.815,0.384,0.775,0.004,-0.005,-0.025,-0.05,-0.441,0.895,-47.995,3.868,47.983,-0.247,-0.579,0.776,34.642,-4.808,-26.617,-27.478,-4.947,-23.068,-0.04,-0.476,0.878,0.134,-0.401,0.906,,13,walk,High
