Time,fms,HR,individual,simulation,CSS
12-31-39,2,90.43,13,walk,High
12-31-40,2,90.62,13,walk,High
12-31-41,2,90.8,13,walk,High
12-31-42,2,91.03,13,walk,High
12-31-43,2,91.25,13,walk,High
12-31-44,2,91.42,13,walk,High
12-31-45,2,91.55,13,walk,High
12-31-46,2,91.75,13,walk,High
12-31-47,2,91.95,13,walk,High
12-31-48,2,92.02,13,walk,High
12-31-49,2,92.07,13,walk,High
12-31-50,2,92.13,13,walk,High
12-31-51,2,92.2,13,walk,High
12-31-52,2,92.18,13,walk,High
12-31-53,2,92.2,13,walk,High
12-31-54,2,92.23,13,walk,High
12-31-55,2,92.25,13,walk,High
12-31-56,2,92.25,13,walk,High
12-31-57,2,92.25,13,walk,High
12-31-58,2,92.22,13,walk,High
12-31-59,2,92.18,13,walk,High
12-32-00,2,92.17,13,walk,High
12-32-01,2,92.15,13,walk,High
12-32-02,2,92.13,13,walk,High
12-32-03,2,92.13,13,walk,High
12-32-04,2,92.13,13,walk,High
12-32-05,2,92.13,13,walk,High
12-32-06,2,92.13,13,walk,High
12-32-07,2,92.13,13,walk,High
12-32-08,2,92.13,13,walk,High
