Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
05-06-51,3.227,0,1.0,1.0,4.37,4.591,0.545,0.717,0.514,0.702,-0.008,-0.004,-0.028,-0.079,-0.058,0.995,-43.195,2.544,75.292,-0.912,-0.0,-0.408,31.144,-4.651,-26.629,-31.209,-3.375,-28.789,0.074,-0.064,0.994,0.071,-0.056,0.995,,14,beach,Low
05-06-52,3.12,0,1.0,1.0,4.319,4.568,0.491,0.734,0.457,0.718,0.01,-0.004,-0.027,-0.217,-0.098,0.967,-43.167,2.547,75.338,-0.93,-0.024,-0.364,31.853,-4.869,-26.704,-30.43,-3.557,-28.848,0.224,-0.101,0.965,0.211,-0.094,0.969,,14,beach,Low
05-06-53,2.898,0,1.0,1.0,4.307,4.524,0.571,0.732,0.538,0.722,-0.008,-0.004,-0.028,-0.004,-0.1,0.984,-43.093,2.553,75.517,-0.993,-0.011,0.059,30.73,-4.96,-26.348,-31.455,-3.823,-28.179,0.011,-0.1,0.984,-0.006,-0.1,0.985,,14,beach,Low
05-06-54,2.495,0,1.0,1.0,4.282,4.405,0.523,0.728,0.489,0.716,-0.003,-0.004,-0.028,-0.137,-0.096,0.982,-43.212,2.549,75.358,-0.993,0.041,0.085,31.399,-4.904,-26.242,-30.882,-3.526,-28.815,0.14,-0.096,0.981,0.132,-0.092,0.984,,14,beach,Low
05-06-55,3.14,0,1.0,1.0,4.303,4.583,0.495,0.731,0.463,0.718,0.013,-0.005,-0.027,-0.202,-0.102,0.972,-43.12,2.548,75.401,-0.996,-0.019,0.074,31.854,-4.937,-26.269,-30.501,-3.599,-28.652,0.208,-0.1,0.971,0.192,-0.097,0.975,,14,beach,Low
05-06-56,3.005,0,1.0,1.0,4.456,4.645,0.527,0.714,0.498,0.703,0.002,-0.004,-0.027,-0.121,-0.063,0.99,-42.994,2.543,75.474,-0.999,-0.035,0.02,31.36,-4.874,-25.754,-30.99,-3.299,-28.99,0.126,-0.059,0.989,0.112,-0.063,0.991,,14,beach,Low
05-06-57,2.88,0,0.956,0.951,4.17,4.387,0.533,0.739,0.492,0.727,0.002,-0.004,-0.028,-0.117,-0.131,0.978,-43.12,2.547,75.409,-0.957,-0.057,0.238,31.336,-4.954,-26.355,-30.888,-3.566,-28.986,0.106,-0.131,0.976,0.119,-0.126,0.98,,14,beach,Low
05-06-58,2.201,0,1.0,1.0,4.075,4.279,0.473,0.73,0.436,0.714,0.015,-0.005,-0.027,-0.273,-0.085,0.957,-43.319,2.546,75.339,-0.996,-0.04,0.053,32.121,-4.832,-26.667,-30.139,-3.587,-28.762,0.274,-0.087,0.957,0.257,-0.076,0.962,,14,beach,Low
05-06-59,3.239,0,0.932,0.902,4.341,4.325,0.595,0.737,0.564,0.737,0.003,-0.004,-0.028,0.05,-0.113,0.96,-43.319,2.533,75.33,-0.615,-0.165,0.579,30.439,-4.825,-26.832,-31.778,-3.707,-29.152,-0.048,-0.109,0.964,-0.038,-0.102,0.926,,14,beach,Low
05-07-00,2.268,0,1.0,1.0,3.728,4.005,0.491,0.74,0.452,0.73,0.001,-0.004,-0.028,-0.207,-0.096,0.956,-45.443,2.523,77.381,-0.565,-0.236,0.749,31.897,-5.058,-26.663,-30.314,-3.914,-28.905,0.217,-0.102,0.954,0.206,-0.089,0.958,,14,beach,Low
