Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
05-06-19,4.1,0,1.0,1.0,4.326,4.554,0.52,0.655,0.485,0.642,0.026,-0.004,-0.026,-0.14,0.106,0.983,-53.157,2.619,75.358,-0.71,0.334,-0.617,31.51,-4.04,-25.885,-30.729,-2.652,-28.657,0.14,0.107,0.983,0.13,0.102,0.985,,14,beach,Low
05-06-20,4.397,0,0.937,0.955,4.483,4.699,0.54,0.707,0.506,0.691,0.01,-0.004,-0.027,-0.093,-0.02,0.973,-53.146,2.618,75.225,-0.725,0.323,-0.554,31.175,-4.775,-25.641,-31.054,-3.204,-28.74,0.092,-0.031,0.968,0.081,-0.024,0.973,,14,beach,Low
05-06-21,1.845,0,0.989,0.994,4.431,4.621,0.524,0.739,0.489,0.727,0.011,-0.005,-0.027,-0.133,-0.139,0.971,-53.142,2.603,75.339,-0.788,-0.064,-0.608,31.379,-5.16,-25.527,-30.778,-3.637,-28.653,0.142,-0.139,0.969,0.115,-0.129,0.976,,14,beach,Low
05-06-22,2.107,0,1.0,1.0,4.156,4.375,0.473,0.708,0.431,0.691,0.012,-0.004,-0.027,-0.27,-0.023,0.945,-53.126,2.6,75.225,-0.107,-0.038,-0.879,32.074,-4.78,-25.857,-29.983,-3.253,-28.729,0.281,-0.023,0.942,0.256,-0.023,0.951,,14,beach,Low
05-06-23,1.634,0,0.933,0.962,4.342,4.53,0.514,0.769,0.465,0.762,0.002,-0.005,-0.027,-0.192,-0.205,0.946,-53.064,2.577,75.212,0.833,-0.383,-0.239,31.418,-5.492,-25.789,-30.586,-3.932,-29.201,0.183,-0.21,0.943,0.192,-0.206,0.947,,14,beach,Low
05-06-24,1.458,0,0.953,0.965,4.474,4.665,0.547,0.772,0.499,0.762,-0.001,-0.005,-0.028,-0.088,-0.209,0.974,-52.929,2.546,75.388,0.815,-0.558,-0.153,31.081,-5.595,-26.015,-31.014,-4.007,-29.193,0.071,-0.205,0.975,0.109,-0.201,0.973,,14,beach,Low
05-06-25,1.828,0,0.993,0.998,4.339,4.546,0.534,0.744,0.488,0.731,-0.012,-0.004,-0.029,-0.12,-0.114,0.98,-52.914,2.55,75.422,0.888,-0.427,-0.112,31.243,-5.027,-26.725,-30.821,-3.634,-29.296,0.112,-0.124,0.979,0.128,-0.114,0.979,,14,beach,Low
05-06-26,1.411,0,1.0,1.0,4.299,4.565,0.521,0.736,0.478,0.723,0.011,-0.004,-0.028,-0.126,-0.119,0.981,-53.057,2.558,75.406,0.896,-0.429,0.001,31.529,-4.872,-26.679,-30.65,-3.57,-29.085,0.131,-0.116,0.979,0.148,-0.104,0.979,,14,beach,Low
05-06-27,2.624,0,1.0,1.0,3.893,4.142,0.508,0.691,0.465,0.678,0.02,-0.004,-0.027,-0.201,0.027,0.969,-52.983,2.573,75.694,0.73,-0.161,0.626,31.551,-4.44,-26.472,-30.518,-3.243,-28.767,0.195,0.024,0.97,0.184,0.032,0.974,,14,beach,Low
05-06-28,1.546,0,0.915,0.928,3.354,3.781,0.438,0.514,0.556,0.658,-0.008,-0.004,-0.026,0.132,-0.084,0.974,-46.955,2.373,69.303,0.836,-0.178,0.235,29.354,-4.552,-26.83,-32.64,-3.676,-28.885,-0.119,-0.078,0.858,-0.15,-0.084,0.889,,14,beach,Low
