Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
05-04-11,3.277,0,0.994,0.998,4.168,4.506,0.529,0.692,0.496,0.694,0.004,-0.003,-0.028,-0.154,-0.078,0.981,-32.078,2.535,73.886,-0.841,-0.125,0.514,31.164,-3.793,-26.602,-31.158,-2.922,-29.151,0.154,-0.082,0.981,0.145,-0.074,0.983,,14,beach,Low
05-04-12,2.611,0,0.919,0.953,4.377,4.622,0.507,0.712,0.472,0.715,0.01,-0.004,-0.028,-0.217,-0.128,0.964,-32.116,2.534,73.902,-0.903,-0.191,0.378,31.434,-4.014,-26.671,-30.834,-3.087,-29.498,0.22,-0.136,0.962,0.203,-0.124,0.968,,14,beach,Low
05-04-13,3.541,0,0.995,0.999,4.381,4.634,0.528,0.696,0.496,0.7,0.02,-0.004,-0.027,-0.155,-0.094,0.983,-32.036,2.531,73.997,-0.884,-0.214,0.415,31.19,-3.854,-26.579,-31.163,-2.839,-29.592,0.155,-0.093,0.983,0.148,-0.091,0.984,,14,beach,Low
05-04-14,4.31,0,0.954,0.937,4.168,4.439,0.569,0.692,0.533,0.699,-0.001,-0.003,-0.028,-0.05,-0.086,0.986,-31.985,2.543,74.021,-0.899,-0.117,0.402,30.581,-3.735,-26.625,-31.64,-2.829,-29.563,0.049,-0.092,0.984,0.051,-0.085,0.985,,14,beach,Low
05-04-15,2.334,0,0.934,0.903,4.345,4.628,0.572,0.71,0.538,0.716,-0.007,-0.003,-0.028,-0.041,-0.133,0.986,-32.132,2.541,73.89,-0.9,-0.132,0.398,30.529,-3.928,-26.807,-31.739,-3.136,-29.293,0.042,-0.138,0.986,0.042,-0.127,0.987,,14,beach,Low
05-04-16,2.435,0,0.987,0.992,4.118,4.431,0.484,0.678,0.443,0.68,0.009,-0.003,-0.028,-0.266,-0.025,0.954,-32.098,2.549,74.004,-0.89,-0.029,-0.31,31.72,-3.587,-27.023,-30.378,-2.711,-29.49,0.285,-0.02,0.95,0.262,-0.022,0.957,,14,beach,Low
05-04-17,2.5,0,1.0,1.0,4.113,4.385,0.457,0.671,0.409,0.668,0.007,-0.003,-0.028,-0.356,0.029,0.93,-32.103,2.543,73.904,-0.218,0.006,-0.948,32.062,-3.576,-27.162,-29.924,-2.587,-29.634,0.363,0.027,0.928,0.346,0.021,0.935,,14,beach,Low
05-04-18,1.484,0,0.984,0.997,4.237,4.518,0.48,0.674,0.432,0.672,0.014,-0.003,-0.028,-0.307,0.012,0.934,-32.14,2.548,73.859,0.393,-0.027,-0.869,31.717,-3.5,-27.259,-30.286,-2.768,-29.163,0.306,0.008,0.933,0.295,0.012,0.938,,14,beach,Low
05-04-19,5.014,0,1.0,1.0,4.074,4.329,0.539,0.656,0.502,0.655,0.02,-0.003,-0.027,-0.139,0.032,0.989,-32.056,2.548,73.881,0.672,0.032,-0.74,30.96,-3.297,-26.945,-31.3,-2.373,-29.521,0.139,0.031,0.989,0.14,0.033,0.989,,14,beach,Low
05-04-20,3.908,0,0.866,0.879,4.108,4.025,0.523,0.596,0.413,0.527,0.001,-0.003,-0.027,-0.022,-0.019,0.987,-30.503,2.432,70.471,0.48,0.025,-0.73,29.905,-3.623,-26.349,-32.325,-2.766,-29.489,0.007,-0.024,0.938,0.022,-0.029,0.898,,14,beach,Low
05-04-21,1.404,0,0.914,0.924,3.732,3.852,0.472,0.535,0.442,0.544,0.017,-0.003,-0.025,0.076,-0.013,0.978,-31.497,2.33,68.321,-0.905,-0.095,0.107,29.981,-3.675,-26.647,-32.123,-3.297,-28.475,-0.072,-0.015,0.895,-0.089,-0.004,0.892,,14,beach,Low
