Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
05-05-15,0.914,0,0.622,0.587,4.138,4.557,0.533,0.741,0.545,0.832,0.007,-0.005,-0.026,0.091,-0.333,0.903,-50.798,2.425,72.225,-0.509,-0.642,-0.287,30.46,-5.76,-26.946,-31.339,-5.383,-27.705,-0.09,-0.32,0.852,-0.06,-0.302,0.863,,14,beach,Low
05-05-16,3.398,0,0.992,0.995,4.083,4.321,0.587,0.697,0.547,0.701,-0.007,-0.004,-0.027,0.004,-0.023,0.992,-52.97,2.593,75.687,0.062,-0.066,-0.995,30.397,-4.506,-26.094,-31.685,-3.949,-27.473,-0.01,-0.019,0.992,-0.014,-0.021,0.992,,14,beach,Low
05-05-17,4.476,0,0.978,0.967,4.039,4.451,0.63,0.688,0.587,0.688,-0.016,-0.004,-0.027,0.102,0.033,0.98,-52.828,2.59,75.667,-0.018,0.005,-0.975,29.772,-4.434,-25.85,-32.198,-3.577,-28.056,-0.076,0.04,0.94,-0.108,0.022,0.977,,14,beach,Low
05-05-18,1.512,0,0.808,0.757,4.011,4.728,0.632,0.812,0.568,0.804,-0.006,-0.005,-0.027,0.093,-0.247,0.949,-50.94,2.424,72.352,-0.692,-0.589,-0.187,30.07,-5.95,-26.552,-31.729,-4.789,-28.928,-0.085,-0.236,0.87,-0.089,-0.25,0.947,,14,beach,Low
05-05-19,0.758,0,0.754,0.75,4.151,4.327,0.58,0.776,0.518,0.771,0.003,-0.005,-0.026,0.03,-0.204,0.935,-50.95,2.412,72.092,-0.508,-0.564,-0.283,30.717,-5.35,-26.723,-31.052,-4.259,-29.135,-0.044,-0.206,0.886,0.006,-0.191,0.898,,14,beach,Low
05-05-20,3.413,0,1.0,0.991,4.252,4.431,0.613,0.699,0.576,0.698,-0.004,-0.004,-0.027,0.068,-0.018,0.99,-52.94,2.587,75.381,0.08,-0.041,-0.995,29.948,-4.761,-25.292,-32.165,-3.704,-28.102,-0.073,-0.022,0.989,-0.071,-0.014,0.99,,14,beach,Low
05-05-21,2.515,0,0.923,0.861,3.825,4.264,0.692,0.743,0.635,0.74,-0.026,-0.004,-0.028,0.244,-0.053,0.941,-52.982,2.586,75.235,-0.316,-0.167,-0.846,29.142,-5.48,-25.22,-32.649,-4.269,-28.132,-0.191,-0.014,0.826,-0.203,-0.032,0.867,,14,beach,Low
05-05-22,1.675,0,0.814,0.712,3.867,4.909,0.708,0.841,0.636,0.832,-0.01,-0.006,-0.027,0.266,-0.272,0.918,-53.2,2.522,75.388,-0.734,-0.657,-0.077,28.94,-6.766,-25.822,-32.719,-5.52,-28.279,-0.224,-0.229,0.799,-0.244,-0.267,0.925,,14,beach,Low
05-05-23,0.929,0,0.767,0.627,3.943,4.398,0.53,0.666,0.602,0.82,0.0,-0.006,-0.026,0.216,-0.266,0.922,-51.102,2.409,72.113,-0.616,-0.693,-0.039,29.571,-6.351,-25.852,-32.182,-4.936,-29.049,-0.246,-0.276,0.832,-0.184,-0.264,0.886,,14,beach,Low
05-05-24,1.508,0,0.984,1.0,4.095,4.45,0.583,0.694,0.54,0.686,-0.011,-0.004,-0.028,-0.024,0.055,0.976,-53.05,2.587,75.367,0.033,-0.032,-0.995,30.329,-5.034,-25.288,-31.652,-3.594,-28.54,-0.003,0.044,0.933,0.018,0.047,0.976,,14,beach,Low
