Time,fms,HR,individual,simulation,CSS
05-03-07,0,103.52,14,beach,Low
05-03-08,0,103.53,14,beach,Low
05-03-09,0,103.43,14,beach,Low
05-03-10,0,103.32,14,beach,Low
05-03-11,0,103.17,14,beach,Low
05-03-12,0,103.0,14,beach,Low
05-03-13,0,102.85,14,beach,Low
05-03-14,0,102.7,14,beach,Low
05-03-15,0,102.23,14,beach,Low
05-03-16,0,101.77,14,beach,Low
05-03-17,0,101.35,14,beach,Low
05-03-18,0,100.95,14,beach,Low
05-03-19,0,100.62,14,beach,Low
05-03-20,0,100.3,14,beach,Low
05-03-21,0,100.0,14,beach,Low
05-03-22,0,99.75,14,beach,Low
05-03-23,0,99.5,14,beach,Low
05-03-24,0,99.38,14,beach,Low
05-03-25,0,99.22,14,beach,Low
05-03-26,0,98.87,14,beach,Low
05-03-27,0,98.48,14,beach,Low
05-03-28,0,98.0,14,beach,Low
05-03-29,0,97.53,14,beach,Low
05-03-30,0,97.03,14,beach,Low
05-03-31,0,96.58,14,beach,Low
05-03-32,0,96.12,14,beach,Low
05-03-33,0,95.67,14,beach,Low
05-03-34,0,95.17,14,beach,Low
05-03-35,0,94.67,14,beach,Low
05-03-36,0,94.22,14,beach,Low
