Time,fms,HR,individual,simulation,CSS
05-03-39,0,92.9,14,beach,Low
05-03-40,0,92.57,14,beach,Low
05-03-41,0,92.2,14,beach,Low
05-03-42,0,91.78,14,beach,Low
05-03-43,0,91.38,14,beach,Low
05-03-44,0,91.02,14,beach,Low
05-03-45,0,90.65,14,beach,Low
05-03-46,0,90.28,14,beach,Low
05-03-47,0,89.93,14,beach,Low
05-03-48,0,89.55,14,beach,Low
05-03-49,0,89.15,14,beach,Low
05-03-50,0,88.75,14,beach,Low
05-03-51,0,88.37,14,beach,Low
05-03-52,0,87.93,14,beach,Low
05-03-53,0,87.5,14,beach,Low
05-03-54,0,87.07,14,beach,Low
05-03-55,0,86.67,14,beach,Low
05-03-56,0,86.27,14,beach,Low
05-03-57,0,85.88,14,beach,Low
05-03-58,0,85.57,14,beach,Low
05-03-59,0,85.27,14,beach,Low
05-04-00,0,85.07,14,beach,Low
05-04-01,0,84.82,14,beach,Low
05-04-02,0,84.32,14,beach,Low
05-04-03,0,83.78,14,beach,Low
05-04-04,0,83.25,14,beach,Low
05-04-05,0,82.7,14,beach,Low
05-04-06,0,82.07,14,beach,Low
05-04-07,0,81.53,14,beach,Low
05-04-08,0,81.18,14,beach,Low
