Time,fms,EDA,individual,simulation,CSS
04-26-01,0,3.522,14,room,Low
04-26-02,0,3.576,14,room,Low
04-26-03,0,3.564,14,room,Low
04-26-04,0,3.523,14,room,Low
04-26-05,0,3.496,14,room,Low
04-26-06,0,3.486,14,room,Low
04-26-07,0,3.49,14,room,Low
04-26-08,0,3.481,14,room,Low
04-26-09,0,3.451,14,room,Low
04-26-10,0,3.443,14,room,Low
04-26-11,0,3.423,14,room,Low
04-26-12,0,3.4,14,room,Low
04-26-13,0,3.394,14,room,Low
04-26-14,0,3.424,14,room,Low
04-26-15,0,3.451,14,room,Low
04-26-16,0,3.424,14,room,Low
04-26-17,0,3.378,14,room,Low
04-26-18,0,3.354,14,room,Low
04-26-19,0,3.333,14,room,Low
04-26-20,0,3.32,14,room,Low
04-26-21,0,3.316,14,room,Low
04-26-22,0,3.325,14,room,Low
04-26-23,0,3.329,14,room,Low
04-26-24,0,3.48,14,room,Low
04-26-25,0,3.678,14,room,Low
04-26-26,0,3.656,14,room,Low
04-26-27,0,3.579,14,room,Low
04-26-28,0,3.515,14,room,Low
04-26-29,0,3.476,14,room,Low
04-26-30,0,3.446,14,room,Low
