Time,fms,EDA,individual,simulation,CSS
04-23-21,0,4.02,14,room,Low
04-23-22,0,4.017,14,room,Low
04-23-23,0,4.002,14,room,Low
04-23-24,0,3.983,14,room,Low
04-23-25,0,3.959,14,room,Low
04-23-26,0,3.947,14,room,Low
04-23-27,0,3.944,14,room,Low
04-23-28,0,3.937,14,room,Low
04-23-29,0,3.918,14,room,Low
04-23-30,0,3.91,14,room,Low
04-23-31,0,3.892,14,room,Low
04-23-32,0,3.873,14,room,Low
04-23-33,0,3.853,14,room,Low
04-23-34,0,3.839,14,room,Low
04-23-35,0,3.805,14,room,Low
04-23-36,0,3.816,14,room,Low
04-23-37,0,3.81,14,room,Low
04-23-38,0,3.784,14,room,Low
04-23-39,0,3.764,14,room,Low
04-23-40,0,3.764,14,room,Low
04-23-41,0,3.753,14,room,Low
04-23-42,0,3.73,14,room,Low
04-23-43,0,3.714,14,room,Low
04-23-44,0,3.696,14,room,Low
04-23-45,0,3.687,14,room,Low
04-23-46,0,3.675,14,room,Low
04-23-47,0,3.665,14,room,Low
04-23-48,0,3.655,14,room,Low
04-23-49,0,3.647,14,room,Low
04-23-50,0,3.633,14,room,Low
