Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
04-28-41,0.608,0,0.643,0.584,3.568,3.262,0.581,0.739,0.387,0.562,0.014,-0.007,-0.022,-0.012,-0.102,0.953,-21.557,1.741,-7.155,-0.0,-0.52,0.758,28.262,-8.041,-22.336,-33.126,-6.828,-26.572,-0.003,-0.123,0.911,0.063,-0.087,0.83,,14,room,Low
04-28-42,0.525,0,0.662,0.352,4.266,3.955,0.649,0.832,0.441,0.651,0.012,-0.008,-0.023,0.031,-0.235,0.953,-22.974,1.85,-7.682,0.111,-0.765,0.594,28.13,-8.34,-22.384,-33.303,-7.246,-26.463,-0.054,-0.233,0.952,0.042,-0.196,0.856,,14,room,Low
04-28-43,1.631,0,1.0,1.0,3.526,3.818,0.576,0.722,0.566,0.724,0.018,-0.007,-0.023,-0.131,0.066,0.987,-23.014,1.912,-7.657,0.018,-0.124,0.991,29.232,-7.054,-22.274,-32.621,-5.889,-25.859,0.131,0.068,0.987,0.136,0.047,0.988,,14,room,Low
04-28-44,1.458,0,0.541,0.724,3.849,4.071,0.599,0.824,0.586,0.835,-0.0,-0.008,-0.024,-0.086,-0.229,0.963,-23.108,1.906,-7.62,0.022,-0.422,0.899,28.85,-8.231,-22.184,-32.903,-7.095,-25.931,0.075,-0.238,0.96,0.099,-0.211,0.966,,14,room,Low
04-28-45,1.199,0,0.793,0.814,3.901,4.159,0.618,0.75,0.592,0.756,0.001,-0.007,-0.024,-0.061,-0.033,0.978,-23.124,1.897,-7.579,0.078,-0.326,0.911,28.496,-7.351,-21.889,-32.972,-6.09,-26.076,0.04,-0.028,0.972,0.086,-0.033,0.98,,14,room,Low
04-28-46,0.497,0,1.0,1.0,3.578,3.872,0.622,0.688,0.603,0.697,0.01,-0.007,-0.022,-0.046,0.174,0.98,-23.081,1.951,-7.661,-0.058,0.37,0.908,28.329,-7.08,-21.106,-33.273,-5.846,-25.388,0.036,0.188,0.978,0.071,0.134,0.986,,14,room,Low
04-28-47,0.364,0,1.0,1.0,4.173,4.452,0.596,0.699,0.578,0.699,0.019,-0.007,-0.021,-0.109,0.174,0.975,-22.905,1.973,-7.781,-0.187,0.596,0.774,28.714,-7.692,-19.955,-32.924,-5.956,-25.119,0.102,0.182,0.973,0.133,0.13,0.981,,14,room,Low
04-28-48,1.169,0,1.0,1.0,4.262,4.531,0.608,0.691,0.607,0.694,0.027,-0.007,-0.02,-0.076,0.174,0.981,-22.869,1.973,-7.744,-0.285,0.572,0.768,28.499,-7.411,-19.876,-33.409,-6.03,-24.624,0.074,0.172,0.981,0.077,0.142,0.986,,14,room,Low
04-28-49,0.759,0,0.619,0.738,2.992,4.13,0.594,0.64,0.636,0.689,0.001,-0.007,-0.02,0.085,0.057,0.971,-20.816,1.783,-6.965,0.236,0.24,0.697,27.219,-7.935,-20.483,-34.398,-6.557,-24.733,-0.03,0.042,0.74,-0.089,0.046,0.909,,14,room,Low
04-28-50,1.665,0,0.543,0.711,4.124,4.22,0.562,0.816,0.491,0.76,0.007,-0.008,-0.023,-0.185,-0.179,0.945,-22.922,1.924,-7.626,0.886,-0.233,0.252,29.328,-8.421,-21.917,-32.216,-7.311,-25.277,0.186,-0.179,0.945,0.174,-0.161,0.916,,14,room,Low
04-28-51,2.297,0,0.618,0.756,4.346,4.658,0.605,0.806,0.594,0.822,0.01,-0.008,-0.023,-0.087,-0.169,0.978,-22.945,1.887,-7.551,0.579,-0.556,0.585,28.621,-8.106,-22.206,-33.121,-7.126,-25.946,0.082,-0.173,0.977,0.103,-0.163,0.978,,14,room,Low
04-28-52,1.084,0,0.892,0.903,4.057,4.576,0.688,0.756,0.679,0.778,-0.002,-0.007,-0.024,0.096,-0.019,0.98,-22.991,1.884,-7.524,0.764,-0.403,0.358,27.367,-7.624,-21.826,-34.301,-6.833,-25.696,-0.105,-0.007,0.944,-0.082,-0.026,0.982,,14,room,Low
04-28-53,2.644,0,1.0,1.0,3.994,4.369,0.642,0.721,0.631,0.736,0.014,-0.007,-0.022,0.021,0.078,0.989,-18.601,1.914,-7.574,0.982,-0.105,-0.081,28.01,-7.487,-20.886,-33.605,-6.847,-24.124,-0.018,0.08,0.987,-0.0,0.063,0.99,,14,room,Low
04-28-54,1.423,0,0.932,0.984,4.091,4.69,0.631,0.75,0.618,0.762,0.007,-0.007,-0.023,-0.043,-0.023,0.977,-15.12,1.911,-7.59,0.951,-0.236,-0.011,28.291,-7.407,-21.795,-33.342,-6.632,-25.309,0.037,-0.026,0.944,0.033,-0.017,0.977,,14,room,Low
04-28-55,0.879,0,0.925,0.976,4.416,4.815,0.721,0.728,0.716,0.749,-0.006,-0.007,-0.024,0.204,0.055,0.971,-10.768,1.915,-7.366,0.801,-0.123,-0.572,26.809,-7.418,-21.439,-34.74,-6.699,-24.952,-0.217,0.074,0.967,-0.18,0.045,0.977,,14,room,Low
04-28-56,1.835,0,0.725,0.875,4.49,4.78,0.576,0.776,0.562,0.792,0.002,-0.007,-0.023,-0.149,-0.09,0.966,-10.789,1.917,-7.455,0.859,-0.269,-0.237,29.051,-7.849,-21.672,-32.61,-6.666,-25.959,0.153,-0.086,0.963,0.159,-0.102,0.965,,14,room,Low
04-28-57,2.438,0,0.774,0.857,4.175,4.488,0.621,0.776,0.614,0.795,0.008,-0.007,-0.023,-0.035,-0.114,0.991,-10.083,1.905,-7.377,0.923,-0.38,0.04,28.423,-7.64,-22.073,-33.377,-7.072,-25.006,0.033,-0.112,0.992,0.048,-0.108,0.992,,14,room,Low
04-28-58,1.895,0,0.964,0.97,4.228,4.588,0.651,0.742,0.647,0.761,-0.008,-0.007,-0.024,0.033,-0.011,0.985,-6.948,1.916,-7.435,0.713,-0.16,-0.596,27.958,-7.467,-21.571,-33.763,-6.544,-25.416,-0.047,0.01,0.983,-0.032,-0.017,0.986,,14,room,Low
04-28-59,0.741,0,0.59,0.624,3.933,4.411,0.499,0.59,0.479,0.608,-0.0,-0.006,-0.021,0.046,-0.063,0.969,-6.328,1.712,-6.785,0.481,-0.314,-0.537,27.799,-7.869,-21.792,-33.573,-6.889,-25.658,-0.072,-0.05,0.867,-0.019,-0.06,0.875,,14,room,Low
04-29-00,1.761,0,0.838,0.614,4.511,3.116,0.621,0.755,0.101,0.193,0.028,-0.007,-0.022,-0.027,-0.04,0.995,-6.942,1.921,-7.511,0.54,-0.117,-0.833,28.398,-7.471,-21.9,-33.474,-7.004,-24.156,0.031,-0.042,0.995,0.013,-0.003,0.677,,14,room,Low
04-29-01,1.966,0,0.835,0.611,4.563,3.766,0.613,0.757,0.401,0.528,0.016,-0.007,-0.023,-0.049,-0.057,0.997,-6.907,1.924,-7.462,0.543,-0.083,-0.835,28.58,-7.496,-21.794,-33.448,-6.299,-25.737,0.044,-0.059,0.997,0.04,-0.042,0.798,,14,room,Low
04-29-02,2.824,0,0.713,0.812,4.596,4.95,0.599,0.756,0.602,0.769,0.023,-0.007,-0.022,-0.069,-0.064,0.994,-6.909,1.931,-7.447,0.524,-0.083,-0.847,28.875,-7.373,-21.966,-33.236,-6.412,-25.543,0.068,-0.063,0.994,0.085,-0.075,0.993,,14,room,Low
04-29-03,3.106,0,0.502,0.691,4.712,5.171,0.573,0.789,0.575,0.802,0.021,-0.008,-0.022,-0.145,-0.123,0.981,-6.745,1.932,-7.393,0.519,-0.091,-0.85,29.234,-8.011,-21.921,-32.87,-7.005,-25.45,0.142,-0.123,0.982,0.15,-0.129,0.98,,14,room,Low
04-29-04,2.02,0,0.648,0.376,4.641,3.695,0.588,0.791,0.268,0.444,0.021,-0.008,-0.023,-0.106,-0.157,0.982,-6.745,1.935,-7.345,0.5,-0.095,-0.861,28.999,-7.827,-22.026,-33.062,-6.853,-25.663,0.106,-0.157,0.982,0.101,-0.131,0.782,,14,room,Low
04-29-05,2.119,0,0.517,0.561,4.59,5.057,0.606,0.798,0.595,0.812,0.002,-0.007,-0.024,-0.08,-0.175,0.976,-6.708,1.929,-7.344,0.47,-0.173,-0.856,28.741,-7.907,-21.89,-33.109,-6.959,-25.526,0.057,-0.181,0.974,0.099,-0.163,0.978,,14,room,Low
04-29-06,2.16,0,0.791,0.303,4.661,1.203,0.575,0.775,-0.412,-0.344,0.016,-0.007,-0.023,-0.142,-0.118,0.981,-6.689,1.926,-7.367,0.505,-0.091,-0.858,29.16,-7.697,-21.652,-32.848,-6.058,-26.119,0.145,-0.117,0.981,0.043,-0.031,0.366,,14,room,Low
04-29-07,1.954,0,0.781,0.0,4.7,-1.0,0.562,0.787,-1.0,-1.0,0.029,-0.008,-0.022,-0.18,-0.159,0.97,-6.679,1.924,-7.36,0.507,-0.073,-0.859,29.312,-7.784,-21.735,-32.738,-5.895,-26.303,0.185,-0.157,0.97,0.0,0.0,0.0,,14,room,Low
04-29-08,1.771,0,0.686,0.365,4.752,3.433,0.551,0.786,0.327,0.54,0.023,-0.008,-0.022,-0.206,-0.151,0.967,-6.678,1.923,-7.353,0.528,-0.073,-0.846,29.517,-7.785,-21.768,-32.584,-6.386,-25.773,0.207,-0.151,0.966,0.135,-0.109,0.72,,14,room,Low
04-29-09,0.955,0,0.54,0.532,4.288,3.813,0.611,0.804,0.304,0.48,0.007,-0.007,-0.021,-0.059,-0.18,0.963,-6.182,1.776,-6.847,0.393,-0.287,-0.69,28.698,-7.952,-21.671,-32.907,-6.751,-25.859,0.049,-0.169,0.892,0.083,-0.12,0.764,,14,room,Low
04-29-10,0.965,0,0.936,0.954,4.512,4.939,0.555,0.756,0.538,0.762,0.011,-0.007,-0.023,-0.209,-0.043,0.968,-6.623,1.913,-7.376,0.548,-0.12,-0.808,29.467,-7.422,-22.07,-32.211,-6.428,-25.355,0.199,-0.04,0.966,0.206,-0.05,0.97,,14,room,Low
