Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
04-08-27,1.004,0,0.981,0.998,3.921,4.011,0.592,0.425,0.585,0.523,0.015,0.004,-0.029,-0.021,0.038,0.986,-41.519,1.877,112.12,-0.989,-0.039,0.023,29.374,3.772,-27.426,-32.158,2.703,-33.624,0.017,0.042,0.985,0.016,0.021,0.988,,14,sea,Low
04-08-28,2.527,0,0.784,0.954,3.962,4.028,0.591,0.431,0.585,0.53,0.001,0.003,-0.03,-0.01,-0.008,0.994,-53.451,1.881,113.951,-0.987,-0.095,0.045,29.454,3.914,-27.866,-32.174,2.648,-33.451,0.009,-0.006,0.993,0.019,-0.015,0.994,,14,sea,Low
04-08-29,3.326,0,0.921,0.989,3.759,3.795,0.554,0.433,0.542,0.528,-0.003,0.003,-0.031,-0.125,0.002,0.983,-65.481,1.872,115.318,-0.929,-0.111,-0.299,30.017,4.043,-28.691,-31.548,2.568,-33.197,0.118,0.003,0.983,0.123,-0.001,0.984,,14,sea,Low
04-08-30,1.006,0,1.0,1.0,3.884,3.796,0.571,0.396,0.556,0.491,0.014,0.004,-0.029,-0.077,0.131,0.985,-77.377,1.862,114.43,-0.764,0.019,-0.63,29.683,4.185,-27.679,-31.725,2.887,-32.839,0.081,0.141,0.983,0.079,0.117,0.987,,14,sea,Low
04-08-31,1.496,0,1.0,1.0,3.865,3.955,0.599,0.412,0.587,0.508,0.008,0.003,-0.029,0.002,0.09,0.992,-87.625,1.865,110.122,-0.667,0.012,-0.742,29.266,3.862,-27.387,-32.144,2.568,-32.648,-0.002,0.095,0.991,-0.001,0.075,0.994,,14,sea,Low
04-08-32,4.637,0,1.0,1.0,3.815,3.965,0.582,0.446,0.577,0.542,0.008,0.003,-0.03,-0.037,-0.032,0.999,-96.548,1.88,103.359,-0.601,-0.047,-0.797,29.596,3.668,-28.131,-32.064,2.159,-32.527,0.038,-0.032,0.999,0.036,-0.035,0.999,,14,sea,Low
04-08-33,4.353,0,0.994,0.997,3.537,3.664,0.582,0.456,0.576,0.552,0.014,0.003,-0.029,-0.035,-0.072,0.993,-104.25,1.876,95.482,-0.412,-0.102,-0.889,29.599,3.623,-28.316,-32.065,2.201,-33.047,0.036,-0.071,0.993,0.04,-0.07,0.994,,14,sea,Low
04-08-34,1.627,0,0.935,0.954,3.761,3.73,0.53,0.46,0.508,0.553,0.008,0.003,-0.031,-0.198,-0.065,0.942,-109.995,1.863,86.372,0.188,-0.125,-0.948,30.32,3.663,-28.856,-31.019,2.463,-33.83,0.197,-0.062,0.94,0.199,-0.07,0.946,,14,sea,Low
04-08-35,3.582,0,1.0,1.0,3.608,3.735,0.553,0.412,0.537,0.505,0.01,0.004,-0.031,-0.118,0.071,0.986,-112.288,1.857,76.368,0.463,0.004,-0.876,30.084,4.702,-30.435,-31.416,2.858,-33.295,0.114,0.074,0.986,0.125,0.068,0.986,,14,sea,Low
04-08-36,2.54,0,0.413,0.758,3.664,3.801,0.605,0.563,0.573,0.671,-0.009,0.002,-0.032,-0.015,-0.417,0.88,-111.156,1.857,66.878,0.408,-0.483,-0.739,29.109,2.713,-29.501,-31.855,1.081,-33.486,-0.0,-0.413,0.881,0.021,-0.41,0.883,,14,sea,Low
04-08-37,1.07,0,1.0,1.0,3.623,3.734,0.615,0.411,0.596,0.506,0.004,0.003,-0.029,0.034,0.098,0.994,-108.354,1.86,57.699,0.553,0.022,-0.831,28.964,3.762,-27.127,-32.234,2.474,-32.366,-0.036,0.105,0.993,-0.035,0.09,0.994,,14,sea,Low
04-08-38,4.437,0,1.0,1.0,3.667,3.792,0.595,0.432,0.582,0.523,-0.0,0.003,-0.03,-0.008,0.026,0.999,-104.417,1.878,48.965,0.579,0.069,-0.811,29.341,3.617,-27.501,-32.085,2.382,-32.52,0.01,0.027,0.998,0.01,0.022,0.999,,14,sea,Low
04-08-39,2.606,0,1.0,1.0,3.735,3.746,0.611,0.442,0.6,0.534,0.008,0.003,-0.03,0.04,-0.015,0.997,-98.971,1.883,40.546,0.541,0.039,-0.838,29.124,3.59,-27.725,-32.356,2.55,-33.41,-0.043,-0.014,0.997,-0.026,-0.019,0.998,,14,sea,Low
04-08-40,2.978,0,1.0,1.0,3.795,3.901,0.578,0.447,0.569,0.538,0.01,0.003,-0.03,-0.04,-0.041,0.997,-92.369,1.886,32.244,0.464,-0.011,-0.886,29.734,4.053,-29.503,-31.934,2.517,-33.312,0.034,-0.045,0.997,0.055,-0.041,0.996,,14,sea,Low
04-08-41,2.266,0,0.995,0.999,3.737,3.834,0.58,0.445,0.574,0.538,-0.019,0.003,-0.032,-0.042,-0.037,0.996,-86.227,1.887,23.659,0.391,-0.013,-0.914,29.687,3.909,-28.972,-32.01,2.544,-33.357,0.032,-0.033,0.996,0.043,-0.04,0.996,,14,sea,Low
04-08-42,1.698,0,1.0,1.0,3.773,3.934,0.613,0.444,0.605,0.54,-0.007,0.003,-0.031,0.045,-0.027,0.989,-80.742,1.888,14.104,0.197,-0.013,-0.969,29.164,3.961,-29.177,-32.386,2.39,-33.11,-0.052,-0.027,0.99,-0.049,-0.03,0.988,,14,sea,Low
04-08-43,4.772,0,1.0,1.0,3.698,3.715,0.501,0.452,0.486,0.537,0.014,0.004,-0.031,-0.255,-0.033,0.966,-76.136,1.888,3.739,0.507,-0.025,-0.859,30.856,4.006,-29.938,-30.698,2.683,-33.969,0.256,-0.035,0.965,0.252,-0.031,0.967,,14,sea,Low
04-08-44,4.134,0,0.964,1.0,3.726,3.846,0.516,0.441,0.501,0.53,0.018,0.004,-0.031,-0.215,-0.015,0.974,-71.32,1.862,-6.291,0.892,-0.06,-0.387,30.647,4.25,-30.101,-30.916,2.805,-33.962,0.213,-0.012,0.973,0.219,-0.017,0.973,,14,sea,Low
04-08-45,3.622,0,1.0,1.0,3.49,3.609,0.543,0.435,0.527,0.524,0.019,0.004,-0.03,-0.145,0.007,0.982,-64.182,1.852,-12.828,0.979,-0.05,0.164,30.209,4.116,-29.39,-31.294,2.838,-33.868,0.144,0.009,0.982,0.15,0.0,0.982,,14,sea,Low
04-08-46,2.916,0,1.0,1.0,3.376,3.506,0.574,0.438,0.562,0.53,0.009,0.003,-0.03,-0.071,-0.001,0.994,-56.303,1.844,-14.473,0.833,-0.056,0.549,29.692,3.688,-27.927,-31.826,2.484,-33.02,0.064,0.002,0.994,0.068,-0.008,0.994,,14,sea,Low
04-08-47,2.521,0,0.881,0.922,3.216,3.516,0.638,0.436,0.631,0.534,0.004,0.003,-0.03,0.108,-0.014,0.981,-48.986,1.854,-12.444,0.849,-0.04,0.499,28.764,3.832,-27.934,-32.77,2.649,-33.528,-0.117,-0.013,0.943,-0.108,-0.025,0.98,,14,sea,Low
04-08-48,3.581,0,1.0,1.0,3.457,3.58,0.582,0.433,0.577,0.525,0.009,0.003,-0.029,-0.033,0.004,0.998,-41.939,1.861,-8.342,0.691,-0.023,0.717,29.595,3.777,-27.769,-32.079,2.423,-32.588,0.035,0.004,0.998,0.037,0.006,0.998,,14,sea,Low
04-08-49,3.801,0,1.0,1.0,3.384,3.491,0.601,0.431,0.593,0.526,0.007,0.003,-0.029,0.014,0.013,0.999,-35.162,1.867,-2.431,0.644,-0.003,0.761,29.3,3.675,-27.343,-32.278,2.362,-32.403,-0.015,0.017,0.999,-0.013,0.008,0.999,,14,sea,Low
04-08-50,0.44,0,1.0,1.0,3.7,3.729,0.756,0.437,0.746,0.547,0.007,0.003,-0.029,0.434,0.012,0.898,-28.641,1.873,4.498,0.984,-0.005,0.094,26.976,3.598,-27.66,-34.193,2.27,-33.15,-0.432,0.023,0.899,-0.424,-0.015,0.903,,14,sea,Low
04-08-51,1.424,0,1.0,1.0,3.659,3.814,0.713,0.428,0.702,0.532,0.003,0.003,-0.03,0.316,0.037,0.943,-21.23,1.87,10.993,0.949,-0.01,-0.293,27.58,3.682,-27.508,-33.672,2.345,-32.891,-0.314,0.046,0.943,-0.307,0.024,0.947,,14,sea,Low
