Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
03-52-50,0.661,0,0.917,0.988,3.957,3.566,0.622,0.3,0.63,0.35,-0.008,0.01,-0.038,0.116,-0.147,0.98,-51.634,2.473,77.219,0.991,0.127,-0.027,30.361,10.143,-34.813,-34.024,10.334,-40.074,-0.106,-0.124,0.985,-0.114,-0.167,0.977,,2,beach,Low
03-52-51,1.338,0,0.493,0.848,3.985,3.713,0.584,0.321,0.573,0.362,-0.007,0.01,-0.038,-0.041,-0.227,0.963,-51.613,2.473,77.197,0.96,0.015,0.142,31.027,9.965,-34.789,-33.076,10.185,-39.823,0.008,-0.228,0.968,0.06,-0.229,0.959,,2,beach,Low
03-52-52,0.995,0,0.248,0.652,3.835,3.616,0.612,0.311,0.612,0.356,-0.01,0.01,-0.038,0.042,-0.18,0.972,-51.645,2.474,77.219,0.967,0.145,0.101,30.459,10.086,-34.897,-33.785,10.178,-39.848,-0.052,-0.185,0.973,-0.041,-0.176,0.97,,2,beach,Low
03-52-53,1.016,0,0.189,0.71,3.748,3.416,0.628,0.312,0.631,0.363,-0.013,0.01,-0.038,0.103,-0.187,0.974,-51.639,2.479,77.219,0.949,0.303,-0.01,30.174,9.82,-34.081,-34.117,10.008,-39.709,-0.101,-0.17,0.978,-0.099,-0.192,0.973,,2,beach,Low
03-52-54,1.077,0,0.393,0.807,3.852,3.525,0.615,0.318,0.626,0.367,-0.016,0.01,-0.038,0.107,-0.184,0.976,-51.608,2.487,77.212,0.918,0.386,-0.061,30.416,9.702,-34.228,-33.944,9.885,-39.676,-0.067,-0.17,0.981,-0.117,-0.187,0.974,,2,beach,Low
03-52-55,1.391,0,0.141,0.431,2.656,2.95,0.416,0.166,0.532,0.315,-0.011,0.008,-0.032,0.049,-0.221,0.96,-43.367,2.079,64.863,0.81,0.003,0.216,30.581,9.901,-34.561,-33.491,10.022,-39.648,-0.063,-0.205,0.721,-0.029,-0.216,0.798,,2,beach,Low
03-52-56,0.794,0,0.194,0.644,3.59,3.364,0.599,0.316,0.594,0.359,-0.015,0.01,-0.038,-0.006,-0.204,0.956,-51.787,2.457,77.26,0.904,-0.188,-0.03,30.712,10.09,-35.074,-33.421,10.165,-39.822,-0.014,-0.21,0.949,0.0,-0.192,0.955,,2,beach,Low
03-52-57,0.546,0,0.123,0.458,3.362,3.128,0.622,0.334,0.605,0.38,-0.011,0.01,-0.038,0.037,-0.282,0.948,-51.642,2.455,77.089,0.818,-0.318,-0.465,30.312,9.801,-35.225,-33.71,9.931,-40.011,-0.087,-0.257,0.952,-0.011,-0.284,0.947,,2,beach,Low
03-52-58,0.469,0,0.228,0.405,2.507,2.339,0.416,0.165,0.621,0.394,-0.005,0.008,-0.03,0.075,-0.212,0.95,-39.969,1.859,59.567,-0.081,-0.485,-0.284,30.156,9.719,-35.98,-34.045,9.699,-40.749,-0.115,-0.192,0.72,-0.042,-0.222,0.72,,2,beach,Low
03-52-59,2.034,0,0.908,0.899,3.457,3.27,0.614,0.278,0.606,0.328,-0.008,0.011,-0.039,0.046,0.016,0.992,-51.898,2.416,77.105,-0.723,-0.372,-0.551,30.468,10.639,-36.683,-33.646,10.437,-40.401,-0.048,0.015,0.993,-0.033,0.019,0.993,,2,beach,Low
