Time,fms,EDA,individual,simulation,CSS
04-32-25,3,1.869,2,roller,High
04-32-26,3,1.863,2,roller,High
04-32-27,3,1.855,2,roller,High
04-32-28,3,1.857,2,roller,High
04-32-29,3,1.863,2,roller,High
04-32-30,3,1.865,2,roller,High
04-32-31,3,1.865,2,roller,High
04-32-32,3,1.87,2,roller,High
04-32-33,3,1.867,2,roller,High
04-32-34,3,1.856,2,roller,High
04-32-35,3,1.848,2,roller,High
04-32-36,3,1.845,2,roller,High
04-32-37,3,1.843,2,roller,High
04-32-38,3,1.841,2,roller,High
04-32-39,3,1.836,2,roller,High
04-32-40,3,1.883,2,roller,High
04-32-41,3,1.894,2,roller,High
04-32-42,3,1.882,2,roller,High
04-32-43,3,1.816,2,roller,High
04-32-44,3,1.829,2,roller,High
04-32-45,3,1.835,2,roller,High
04-32-46,3,1.842,2,roller,High
04-32-47,3,1.846,2,roller,High
04-32-48,3,1.849,2,roller,High
04-32-49,3,1.847,2,roller,High
04-32-50,3,1.846,2,roller,High
04-32-51,3,1.845,2,roller,High
04-32-52,3,1.844,2,roller,High
04-32-53,3,1.839,2,roller,High
04-32-54,3,1.837,2,roller,High
