Time,fms,EDA,individual,simulation,CSS
04-29-45,1,1.863,2,roller,Mid
04-29-46,1,1.858,2,roller,Mid
04-29-47,1,1.854,2,roller,Mid
04-29-48,1,1.847,2,roller,Mid
04-29-49,1,1.841,2,roller,Mid
04-29-50,1,1.836,2,roller,Mid
04-29-51,1,1.834,2,roller,Mid
04-29-52,1,1.844,2,roller,Mid
04-29-53,1,1.86,2,roller,Mid
04-29-54,1,1.85,2,roller,Mid
04-29-55,1,1.842,2,roller,Mid
04-29-56,1,1.829,2,roller,Mid
04-29-57,1,1.815,2,roller,Mid
04-29-58,1,1.807,2,roller,Mid
04-29-59,1,1.817,2,roller,Mid
04-30-00,1,1.809,2,roller,Mid
04-30-01,1,1.799,2,roller,Mid
04-30-02,1,1.789,2,roller,Mid
04-30-03,1,1.791,2,roller,Mid
04-30-04,1,1.785,2,roller,Mid
04-30-05,1,1.779,2,roller,Mid
04-30-06,1,1.773,2,roller,Mid
04-30-07,1,1.765,2,roller,Mid
04-30-08,1,1.763,2,roller,Mid
04-30-09,1,1.758,2,roller,Mid
04-30-10,1,1.753,2,roller,Mid
04-30-11,1,1.753,2,roller,Mid
04-30-12,1,1.744,2,roller,Mid
04-30-13,1,1.746,2,roller,Mid
04-30-14,1,1.741,2,roller,Mid
