Time,fms,EDA,individual,simulation,CSS
04-18-58,1,1.864,2,sea,Mid
04-18-59,1,1.887,2,sea,Mid
04-19-00,1,1.932,2,sea,Mid
04-19-01,1,1.943,2,sea,Mid
04-19-02,1,1.93,2,sea,Mid
04-19-03,1,1.913,2,sea,Mid
04-19-04,1,1.909,2,sea,Mid
04-19-05,1,1.902,2,sea,Mid
04-19-06,1,1.901,2,sea,Mid
04-19-07,1,1.896,2,sea,Mid
04-19-08,1,1.888,2,sea,Mid
04-19-09,1,1.883,2,sea,Mid
04-19-10,1,1.882,2,sea,Mid
04-19-11,1,1.883,2,sea,Mid
04-19-12,1,1.883,2,sea,Mid
04-19-13,1,1.907,2,sea,Mid
04-19-14,1,1.917,2,sea,Mid
04-19-15,1,1.906,2,sea,Mid
04-19-16,1,1.91,2,sea,Mid
04-19-17,1,1.975,2,sea,Mid
04-19-18,1,2.02,2,sea,Mid
04-19-19,1,2.008,2,sea,Mid
04-19-20,1,1.992,2,sea,Mid
04-19-21,1,1.971,2,sea,Mid
04-19-22,1,1.961,2,sea,Mid
04-19-23,1,1.953,2,sea,Mid
04-19-24,1,1.945,2,sea,Mid
04-19-25,1,1.936,2,sea,Mid
04-19-26,1,1.931,2,sea,Mid
04-19-27,1,1.928,2,sea,Mid
