Time,fms,HR,individual,simulation,CSS
04-17-22,1,74.68,2,sea,Mid
04-17-23,1,74.6,2,sea,Mid
04-17-24,1,74.52,2,sea,Mid
04-17-25,1,74.43,2,sea,Mid
04-17-26,1,74.35,2,sea,Mid
04-17-27,1,74.25,2,sea,Mid
04-17-28,1,74.15,2,sea,Mid
04-17-29,1,74.07,2,sea,Mid
04-17-30,1,73.98,2,sea,Mid
04-17-31,1,73.92,2,sea,Mid
04-17-32,1,73.87,2,sea,Mid
04-17-33,1,73.85,2,sea,Mid
04-17-34,1,73.87,2,sea,Mid
04-17-35,1,73.9,2,sea,Mid
04-17-36,1,73.95,2,sea,Mid
04-17-37,1,74.02,2,sea,Mid
04-17-38,1,74.08,2,sea,Mid
04-17-39,1,74.17,2,sea,Mid
04-17-40,1,74.25,2,sea,Mid
04-17-41,1,74.33,2,sea,Mid
04-17-42,1,74.4,2,sea,Mid
04-17-43,1,74.43,2,sea,Mid
04-17-44,1,74.45,2,sea,Mid
04-17-45,1,74.45,2,sea,Mid
04-17-46,1,74.47,2,sea,Mid
04-17-47,1,74.48,2,sea,Mid
04-17-48,1,74.5,2,sea,Mid
04-17-49,1,74.52,2,sea,Mid
04-17-50,1,74.53,2,sea,Mid
04-17-51,1,74.55,2,sea,Mid
