Time,fms,HR,individual,simulation,CSS
04-18-58,1,79.53,2,sea,Mid
04-18-59,1,79.52,2,sea,Mid
04-19-00,1,79.48,2,sea,Mid
04-19-01,1,79.47,2,sea,Mid
04-19-02,1,79.43,2,sea,Mid
04-19-03,1,79.4,2,sea,Mid
04-19-04,1,79.38,2,sea,Mid
04-19-05,1,79.38,2,sea,Mid
04-19-06,1,79.4,2,sea,Mid
04-19-07,1,79.45,2,sea,Mid
04-19-08,1,79.52,2,sea,Mid
04-19-09,1,79.57,2,sea,Mid
04-19-10,1,79.63,2,sea,Mid
04-19-11,1,79.7,2,sea,Mid
04-19-12,1,79.75,2,sea,Mid
04-19-13,1,79.78,2,sea,Mid
04-19-14,1,79.8,2,sea,Mid
04-19-15,1,79.85,2,sea,Mid
04-19-16,1,79.78,2,sea,Mid
04-19-17,1,79.75,2,sea,Mid
04-19-18,1,79.73,2,sea,Mid
04-19-19,1,79.6,2,sea,Mid
04-19-20,1,79.62,2,sea,Mid
04-19-21,1,79.55,2,sea,Mid
04-19-22,1,79.52,2,sea,Mid
04-19-23,1,79.52,2,sea,Mid
04-19-24,1,79.65,2,sea,Mid
04-19-25,1,79.75,2,sea,Mid
04-19-26,1,79.82,2,sea,Mid
04-19-27,1,79.85,2,sea,Mid
