Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
04-01-20,0.833,0,1.0,1.0,2.785,2.154,0.63,0.451,0.623,0.537,0.003,0.007,-0.042,-0.023,-0.055,0.992,-48.386,3.522,47.267,-0.352,-0.025,0.93,30.131,6.774,-38.38,-34.526,6.783,-46.304,-0.012,-0.039,0.997,0.04,-0.049,0.995,,2,walk,Low
04-01-21,1.019,0,0.986,0.821,2.359,2.094,0.615,0.535,0.604,0.616,0.008,0.005,-0.041,-0.022,-0.254,0.93,-48.388,3.497,47.282,-0.36,-0.421,0.711,30.456,5.227,-38.586,-34.024,5.535,-46.188,0.023,-0.25,0.931,0.036,-0.285,0.92,,2,walk,Low
04-01-22,1.208,0,0.986,0.897,2.96,2.552,0.615,0.589,0.605,0.666,0.012,0.004,-0.041,0.023,-0.367,0.909,-48.383,3.438,47.37,-0.095,-0.848,0.444,30.583,4.196,-38.843,-33.908,4.665,-46.328,-0.023,-0.357,0.909,-0.003,-0.382,0.901,,2,walk,Low
04-01-23,1.022,0,1.0,1.0,3.103,2.757,0.546,0.545,0.538,0.612,0.002,0.005,-0.042,-0.257,-0.166,0.947,-48.49,3.638,47.48,-0.837,-0.52,0.134,31.594,4.938,-39.577,-32.975,5.379,-46.467,0.252,-0.152,0.951,0.242,-0.178,0.95,,2,walk,Low
04-01-24,1.7,0,0.994,0.957,3.198,2.897,0.64,0.59,0.627,0.678,0.008,0.005,-0.043,0.057,-0.368,0.918,-48.422,3.816,47.471,0.053,-0.852,0.376,30.114,4.886,-41.308,-34.269,4.782,-47.62,-0.066,-0.359,0.921,-0.041,-0.387,0.91,,2,walk,Low
04-01-25,1.032,0,0.885,0.7,2.326,2.521,0.531,0.42,0.636,0.595,0.014,0.005,-0.038,0.058,-0.171,0.96,-43.051,3.4,42.171,0.447,-0.622,0.422,29.67,5.715,-41.111,-34.706,5.676,-47.77,-0.061,-0.16,0.816,-0.024,-0.197,0.921,,2,walk,Low
04-01-26,0.968,0,0.863,0.76,2.225,2.278,0.584,0.488,0.573,0.564,0.01,0.005,-0.04,0.072,-0.197,0.956,-44.672,3.56,43.776,0.696,-0.496,0.065,29.936,5.305,-40.548,-34.478,5.619,-48.122,-0.079,-0.151,0.818,-0.058,-0.194,0.886,,2,walk,Low
04-01-27,1.655,0,1.0,1.0,3.275,2.948,0.636,0.568,0.636,0.656,0.008,0.005,-0.043,0.045,-0.359,0.931,-48.199,3.832,47.522,0.471,-0.876,-0.087,30.139,5.188,-40.527,-34.513,5.37,-47.925,-0.052,-0.347,0.936,-0.036,-0.378,0.922,,2,walk,Low
04-01-28,1.17,0,0.901,0.774,2.695,2.412,0.467,0.366,0.531,0.512,0.004,0.005,-0.038,0.087,-0.252,0.952,-42.444,3.402,42.122,0.314,-0.692,-0.291,29.775,5.455,-40.593,-34.927,5.442,-47.973,-0.08,-0.225,0.805,-0.074,-0.255,0.794,,2,walk,Low
04-01-29,0.631,0,0.96,0.801,3.296,2.733,0.668,0.591,0.669,0.685,0.014,0.005,-0.043,0.1,-0.452,0.881,-47.968,3.849,47.652,0.018,-0.875,-0.474,29.522,5.07,-40.834,-35.15,4.89,-48.158,-0.109,-0.46,0.876,-0.074,-0.413,0.897,,2,walk,Low
