Time,fms,EDA,individual,simulation,CSS
04-47-01,1,0.573,3,walk,Mid
04-47-02,1,0.57,3,walk,Mid
04-47-03,1,0.568,3,walk,Mid
04-47-04,1,0.57,3,walk,Mid
04-47-05,1,0.579,3,walk,Mid
04-47-06,1,0.591,3,walk,Mid
04-47-07,1,0.588,3,walk,Mid
04-47-08,1,0.582,3,walk,Mid
04-47-09,1,0.577,3,walk,Mid
04-47-10,1,0.573,3,walk,Mid
04-47-11,1,0.569,3,walk,Mid
04-47-12,1,0.563,3,walk,Mid
04-47-13,1,0.562,3,walk,Mid
04-47-14,1,0.56,3,walk,Mid
04-47-15,1,0.558,3,walk,Mid
04-47-16,1,0.554,3,walk,Mid
04-47-17,1,0.552,3,walk,Mid
04-47-18,1,0.549,3,walk,Mid
04-47-19,1,0.56,3,walk,Mid
04-47-20,1,0.555,3,walk,Mid
04-47-21,1,0.556,3,walk,Mid
04-47-22,1,0.555,3,walk,Mid
04-47-23,1,0.573,3,walk,Mid
04-47-24,1,0.581,3,walk,Mid
04-47-25,1,0.575,3,walk,Mid
04-47-26,1,0.562,3,walk,Mid
04-47-27,1,0.571,3,walk,Mid
04-47-28,1,0.591,3,walk,Mid
04-47-29,1,0.587,3,walk,Mid
04-47-30,1,0.592,3,walk,Mid
