Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
04-45-28,1.248,1,0.971,0.974,2.867,3.352,0.512,0.333,0.338,0.24,0.02,0.007,-0.022,-0.177,-0.188,0.965,-47.895,3.876,49.021,0.005,-0.16,0.986,31.047,6.929,-22.567,-25.668,9.185,-21.44,0.177,-0.181,0.924,0.169,-0.164,0.929,,3,walk,Mid
04-45-29,0.738,1,0.659,0.669,1.96,2.045,0.563,0.357,0.22,0.136,0.006,0.006,-0.017,-0.048,-0.233,0.959,-37.266,3.016,38.12,0.103,-0.264,0.941,30.107,6.73,-22.602,-26.379,8.845,-21.545,0.008,-0.225,0.701,0.075,-0.214,0.664,,3,walk,Mid
04-45-30,3.278,1,0.986,0.997,3.036,3.595,0.492,0.333,0.315,0.235,0.012,0.008,-0.022,-0.218,-0.185,0.957,-47.885,3.875,49.014,0.014,-0.156,0.987,31.45,6.964,-22.788,-25.146,9.089,-20.192,0.222,-0.188,0.956,0.217,-0.177,0.959,,3,walk,Mid
04-45-31,2.644,1,0.998,1.0,3.045,3.518,0.476,0.341,0.297,0.242,0.001,0.008,-0.022,-0.253,-0.199,0.947,-47.882,3.874,49.009,0.006,-0.16,0.987,31.76,6.82,-22.888,-24.764,8.996,-20.376,0.258,-0.202,0.945,0.247,-0.196,0.949,,3,walk,Mid
04-45-32,2.504,1,0.737,0.765,2.481,2.862,0.521,0.36,0.217,0.165,0.001,0.007,-0.02,-0.156,-0.25,0.944,-44.062,3.566,45.083,0.074,-0.254,0.949,30.979,6.624,-22.917,-25.288,8.792,-20.397,0.131,-0.229,0.832,0.187,-0.263,0.857,,3,walk,Mid
04-45-33,2.527,1,0.776,0.796,2.149,2.376,0.453,0.275,0.138,0.048,0.017,0.006,-0.018,-0.159,-0.133,0.967,-39.331,3.184,40.272,0.034,-0.159,0.975,31.082,7.283,-22.862,-25.551,9.203,-19.964,0.149,-0.123,0.755,0.159,-0.115,0.719,,3,walk,Mid
04-45-34,3.345,1,1.0,1.0,2.963,3.458,0.467,0.322,0.283,0.219,0.003,0.008,-0.021,-0.28,-0.135,0.95,-47.873,3.872,49.028,-0.003,-0.142,0.99,31.93,7.09,-22.993,-24.501,9.252,-19.936,0.279,-0.139,0.95,0.279,-0.132,0.951,,3,walk,Mid
04-45-35,1.704,1,0.811,0.832,2.589,2.975,0.444,0.291,0.317,0.253,0.003,0.007,-0.018,-0.179,-0.159,0.96,-40.515,3.277,41.479,0.031,-0.173,0.975,31.337,6.822,-23.018,-25.009,8.857,-20.203,0.173,-0.174,0.841,0.192,-0.173,0.84,,3,walk,Mid
04-45-36,1.171,1,0.662,0.72,2.152,2.634,0.479,0.301,0.161,0.075,0.01,0.006,-0.017,-0.088,-0.198,0.962,-37.622,3.049,38.509,0.077,-0.201,0.959,30.671,6.968,-23.013,-25.888,8.829,-20.036,0.069,-0.189,0.749,0.12,-0.204,0.78,,3,walk,Mid
04-45-37,4.562,1,1.0,1.0,2.927,3.463,0.469,0.337,0.286,0.234,0.001,0.008,-0.021,-0.27,-0.185,0.945,-47.868,3.877,49.01,0.008,-0.108,0.994,31.928,6.933,-23.203,-24.505,8.999,-19.606,0.271,-0.187,0.944,0.272,-0.183,0.945,,3,walk,Mid
