Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
04-46-33,1.385,1,0.995,0.977,2.937,3.285,0.701,0.323,0.522,0.258,-0.009,0.008,-0.022,0.166,-0.112,0.966,-46.134,3.751,46.463,0.047,-0.037,-0.876,27.069,6.965,-23.163,-29.453,8.583,-22.315,-0.149,-0.123,0.93,-0.16,-0.106,0.928,,3,walk,Mid
04-46-34,2.779,1,0.754,0.735,1.881,2.023,0.504,0.247,0.456,0.297,0.007,0.005,-0.016,0.01,-0.095,0.987,-33.271,2.701,33.489,-0.144,-0.07,-0.35,28.451,6.729,-23.477,-28.373,7.877,-21.229,-0.011,-0.097,0.679,-0.012,-0.066,0.648,,3,walk,Mid
04-46-35,0.472,1,0.572,0.509,3.055,3.071,0.655,0.457,0.438,0.399,0.001,0.006,-0.023,-0.011,-0.49,0.869,-48.018,3.846,48.378,-0.076,-0.862,-0.497,27.825,5.049,-24.283,-28.215,6.351,-22.374,-0.052,-0.478,0.875,0.073,-0.468,0.829,,3,walk,Mid
04-46-36,0.946,1,0.953,0.971,3.055,3.411,0.66,0.341,0.465,0.279,0.008,0.007,-0.023,0.029,-0.195,0.963,-48.127,3.881,48.421,-0.549,-0.42,-0.586,27.741,6.81,-23.225,-28.578,8.091,-21.415,-0.063,-0.196,0.965,-0.014,-0.179,0.961,,3,walk,Mid
04-46-37,3.961,1,0.941,0.96,2.941,3.356,0.635,0.344,0.468,0.282,-0.001,0.007,-0.022,0.037,-0.216,0.975,-48.154,3.913,48.395,-0.917,-0.133,-0.375,28.328,6.788,-23.025,-28.522,8.026,-20.64,-0.035,-0.213,0.976,-0.038,-0.216,0.975,,3,walk,Mid
04-46-38,3.597,1,0.992,1.0,2.936,3.286,0.618,0.341,0.45,0.274,-0.004,0.008,-0.023,-0.013,-0.209,0.975,-48.125,3.909,48.425,-0.892,-0.12,-0.429,28.666,7.02,-23.648,-28.293,8.478,-21.954,0.004,-0.214,0.974,0.022,-0.208,0.974,,3,walk,Mid
04-46-39,3.898,1,1.0,0.997,2.93,3.305,0.668,0.366,0.499,0.306,-0.004,0.008,-0.023,0.101,-0.297,0.945,-48.136,3.906,48.425,-0.898,-0.246,-0.348,27.67,6.714,-23.836,-29.149,8.157,-22.356,-0.099,-0.294,0.946,-0.104,-0.301,0.943,,3,walk,Mid
04-46-40,2.661,1,0.988,0.974,3.113,3.455,0.677,0.386,0.504,0.325,-0.004,0.007,-0.023,0.133,-0.359,0.908,-48.156,3.902,48.454,-0.918,-0.378,-0.079,27.566,6.473,-23.827,-29.187,7.926,-22.496,-0.129,-0.363,0.909,-0.129,-0.36,0.907,,3,walk,Mid
04-46-41,2.423,1,0.925,0.957,3.11,3.586,0.586,0.388,0.418,0.321,-0.002,0.007,-0.023,-0.092,-0.368,0.924,-48.185,3.886,48.495,-0.856,-0.516,-0.007,29.271,6.437,-23.776,-27.716,7.967,-22.316,0.081,-0.371,0.924,0.101,-0.363,0.925,,3,walk,Mid
04-46-42,2.591,1,0.926,0.98,3.194,3.643,0.562,0.376,0.394,0.306,-0.001,0.007,-0.023,-0.151,-0.327,0.931,-48.196,3.881,48.503,-0.858,-0.512,-0.007,29.673,6.633,-23.836,-27.294,8.193,-22.271,0.143,-0.333,0.931,0.161,-0.322,0.932,,3,walk,Mid
04-46-43,2.471,1,0.978,0.951,2.839,3.04,0.548,0.294,0.375,0.223,0.008,0.008,-0.021,-0.174,-0.112,0.974,-44.476,3.593,44.775,-0.891,-0.194,-0.026,29.862,7.775,-22.819,-26.951,9.33,-21.096,0.173,-0.113,0.897,0.17,-0.104,0.859,,3,walk,Mid
04-46-44,2.509,1,0.797,0.714,1.746,0.602,0.517,0.173,0.303,0.092,0.009,0.005,-0.014,0.042,-0.078,0.979,-30.949,2.508,31.258,-0.272,-0.089,0.724,26.944,7.082,-22.656,-29.58,8.2,-21.691,-0.036,-0.078,0.624,0.036,-0.04,0.351,,3,walk,Mid
04-46-45,1.833,1,1.0,1.0,2.98,3.386,0.608,0.301,0.44,0.261,-0.001,0.008,-0.023,-0.078,-0.087,0.992,-48.13,3.898,48.639,0.013,-0.138,0.99,28.688,7.647,-23.99,-28.396,8.292,-22.329,0.064,-0.089,0.993,0.098,-0.085,0.991,,3,walk,Mid
