Time,fms,EDA,individual,simulation,CSS
04-39-40,1,3.125,4,beach,Mid
04-39-41,1,2.996,4,beach,Mid
04-39-42,1,2.905,4,beach,Mid
04-39-43,1,2.822,4,beach,Mid
04-39-44,1,2.757,4,beach,Mid
04-39-45,1,2.675,4,beach,Mid
04-39-46,1,2.644,4,beach,Mid
04-39-47,1,2.813,4,beach,Mid
04-39-48,1,3.113,4,beach,Mid
04-39-49,1,3.032,4,beach,Mid
04-39-50,1,2.839,4,beach,Mid
04-39-51,1,2.838,4,beach,Mid
04-39-52,1,2.767,4,beach,Mid
04-39-53,1,2.674,4,beach,Mid
04-39-54,1,2.724,4,beach,Mid
04-39-55,1,2.837,4,beach,Mid
04-39-56,1,2.866,4,beach,Mid
04-39-57,1,2.802,4,beach,Mid
04-39-58,1,2.757,4,beach,Mid
04-39-59,1,2.758,4,beach,Mid
04-40-00,1,2.76,4,beach,Mid
04-40-01,1,2.71,4,beach,Mid
04-40-02,1,2.65,4,beach,Mid
04-40-03,1,2.715,4,beach,Mid
04-40-04,1,2.797,4,beach,Mid
04-40-05,1,2.893,4,beach,Mid
04-40-06,1,2.887,4,beach,Mid
04-40-07,1,2.844,4,beach,Mid
04-40-08,1,2.811,4,beach,Mid
04-40-09,1,2.651,4,beach,Mid
