Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
04-37-00,2.403,1,0.772,0.778,3.747,3.396,0.684,0.357,0.689,0.446,0.008,0.004,-0.019,0.026,-0.114,0.99,-43.534,2.147,64.282,-0.645,-0.187,0.659,27.717,5.694,-21.149,-37.234,4.342,-27.418,-0.031,-0.11,0.831,-0.015,-0.121,0.83,,4,beach,Mid
04-37-01,1.777,1,0.688,0.687,3.23,3.094,0.736,0.34,0.746,0.448,-0.001,0.004,-0.018,0.1,-0.078,0.985,-39.869,1.971,58.825,-0.47,-0.125,0.802,26.841,5.701,-20.954,-37.984,4.146,-27.296,-0.111,-0.067,0.755,-0.104,-0.098,0.788,,4,beach,Mid
04-37-02,0.93,1,0.95,0.976,4.806,4.379,0.738,0.338,0.749,0.434,-0.008,0.005,-0.024,0.124,-0.134,0.982,-51.844,2.548,76.521,0.008,-0.316,0.946,27.123,5.698,-20.973,-37.871,4.19,-27.201,-0.125,-0.121,0.984,-0.122,-0.145,0.981,,4,beach,Mid
04-37-03,1.582,1,0.845,0.819,4.823,4.453,0.796,0.364,0.802,0.453,-0.009,0.005,-0.025,0.24,-0.197,0.941,-51.823,2.554,76.506,0.63,-0.329,0.657,26.267,5.435,-21.199,-38.59,4.033,-27.497,-0.261,-0.197,0.935,-0.225,-0.2,0.943,,4,beach,Mid
04-37-04,0.755,1,0.916,0.89,4.885,4.381,0.792,0.368,0.781,0.46,-0.007,0.005,-0.024,0.208,-0.203,0.955,-51.84,2.545,76.515,0.85,-0.382,0.353,26.284,5.274,-21.099,-38.431,3.848,-27.49,-0.254,-0.194,0.946,-0.17,-0.205,0.963,,4,beach,Mid
04-37-05,0.713,1,0.579,0.645,3.009,2.501,0.668,0.35,0.686,0.451,-0.004,0.003,-0.016,0.077,-0.063,0.982,-34.619,1.694,51.024,0.531,-0.18,0.575,27.444,6.142,-20.953,-37.414,4.467,-27.461,-0.082,-0.056,0.647,-0.053,-0.07,0.615,,4,beach,Mid
04-37-06,1.03,1,0.634,0.729,3.373,2.969,0.621,0.344,0.632,0.437,-0.015,0.004,-0.02,-0.07,-0.104,0.987,-39.485,1.938,58.182,-0.548,-0.221,0.668,28.797,6.098,-22.398,-36.2,4.415,-27.387,0.054,-0.091,0.79,0.072,-0.115,0.786,,4,beach,Mid
04-37-07,1.199,1,0.866,0.959,4.322,3.919,0.668,0.34,0.667,0.434,-0.006,0.005,-0.025,-0.036,-0.126,0.99,-51.83,2.55,76.572,-0.963,-0.232,-0.068,28.475,5.822,-21.965,-36.556,4.267,-27.195,0.014,-0.112,0.95,0.053,-0.13,0.947,,4,beach,Mid
04-37-08,1.383,1,0.764,0.8,3.851,4.123,0.674,0.341,0.659,0.437,-0.005,0.005,-0.023,-0.02,-0.099,0.98,-47.574,2.336,70.144,-0.836,-0.203,0.332,28.351,5.713,-21.974,-36.347,4.185,-27.536,0.024,-0.078,0.86,0.04,-0.138,0.929,,4,beach,Mid
04-37-09,1.046,1,0.537,0.382,2.734,2.33,0.695,0.43,0.655,0.532,0.005,0.003,-0.015,0.025,-0.197,0.964,-33.17,1.616,48.998,-0.494,-0.385,0.437,27.682,4.821,-21.754,-36.226,3.293,-27.708,-0.051,-0.218,0.637,0.013,-0.199,0.604,,4,beach,Mid
