Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
03-52-08,2.001,0,1.0,1.0,3.021,2.764,0.468,0.626,0.465,0.608,0.007,-0.0,-0.027,0.02,-0.106,0.992,-0.157,2.128,-5.415,0.008,0.084,-0.812,34.776,-0.532,-30.464,-30.389,-0.506,-27.858,-0.034,-0.109,0.9,-0.001,-0.118,0.899,,4,room,Low
03-52-09,1.32,0,1.0,1.0,3.401,3.267,0.465,0.685,0.464,0.665,0.002,-0.001,-0.029,0.014,-0.29,0.956,-0.168,2.337,-5.96,0.013,-0.126,-0.991,34.769,-1.314,-30.512,-30.402,-1.139,-28.448,-0.021,-0.278,0.96,-0.006,-0.301,0.953,,4,room,Low
03-52-10,2.076,0,1.0,1.0,4.085,3.897,0.377,0.655,0.375,0.626,-0.001,-0.001,-0.03,-0.21,-0.155,0.955,-0.15,2.328,-5.968,0.438,-0.112,-0.849,36.04,-0.974,-31.061,-28.909,-0.629,-28.714,0.21,-0.145,0.957,0.217,-0.159,0.953,,4,room,Low
03-52-11,1.994,0,1.0,1.0,3.651,3.492,0.446,0.655,0.47,0.599,-0.005,-0.001,-0.028,-0.061,-0.089,0.947,-0.115,2.177,-5.6,0.472,-0.087,-0.619,35.14,-1.252,-31.027,-29.845,-0.632,-28.894,0.05,-0.072,0.858,0.042,-0.099,0.884,,4,room,Low
03-52-12,2.039,0,0.993,0.983,3.507,3.611,0.474,0.607,0.427,0.527,-0.008,-0.001,-0.027,0.162,-0.103,0.978,-0.129,2.111,-5.446,-0.021,-0.093,-0.812,34.037,-1.545,-30.152,-31.121,-0.917,-28.683,-0.162,-0.09,0.858,-0.164,-0.111,0.916,,4,room,Low
03-52-13,2.95,0,0.992,0.982,3.537,3.327,0.443,0.608,0.449,0.581,-0.007,-0.001,-0.025,0.084,-0.101,0.985,-0.135,2.036,-5.232,-0.05,-0.072,-0.741,34.469,-1.542,-30.177,-30.713,-1.178,-27.74,-0.079,-0.105,0.86,-0.083,-0.103,0.859,,4,room,Low
03-52-14,2.096,0,1.0,1.0,4.157,3.985,0.476,0.675,0.477,0.648,-0.003,-0.001,-0.029,0.057,-0.203,0.972,-0.165,2.327,-5.978,-0.078,-0.158,-0.977,34.667,-1.382,-30.852,-30.491,-1.162,-28.261,-0.064,-0.195,0.974,-0.056,-0.207,0.971,,4,room,Low
03-52-15,1.834,0,1.0,1.0,4.216,4.009,0.587,0.67,0.584,0.643,0.002,-0.001,-0.03,0.372,-0.156,0.91,-0.199,2.324,-6.005,-0.772,-0.156,-0.562,33.107,-1.366,-30.658,-32.024,-0.985,-28.939,-0.367,-0.165,0.911,-0.371,-0.15,0.911,,4,room,Low
03-52-16,2.006,0,0.993,0.974,3.514,3.184,0.454,0.614,0.407,0.54,0.0,-0.001,-0.026,0.155,-0.093,0.941,-0.199,2.039,-5.385,-0.722,-0.132,-0.188,34.448,-1.475,-30.723,-30.662,-1.299,-28.776,-0.158,-0.099,0.817,-0.146,-0.085,0.791,,4,room,Low
03-52-17,3.028,0,1.0,1.0,3.905,3.716,0.497,0.619,0.493,0.606,0.005,-0.001,-0.029,0.101,-0.054,0.985,-0.198,2.409,-6.556,-0.35,-0.04,-0.933,34.313,-0.667,-30.338,-30.775,-0.76,-28.165,-0.106,-0.055,0.985,-0.094,-0.055,0.986,,4,room,Low
03-52-18,2.836,0,1.0,1.0,3.948,3.691,0.422,0.645,0.415,0.624,-0.005,-0.001,-0.029,-0.098,-0.081,0.977,-0.106,2.776,-6.574,0.603,-0.078,-0.739,35.41,-1.35,-30.216,-29.459,-1.043,-28.492,0.093,-0.073,0.978,0.098,-0.086,0.977,,4,room,Low
03-52-19,1.961,0,1.0,1.0,3.861,3.591,0.467,0.637,0.459,0.61,-0.01,-0.001,-0.029,0.013,-0.084,0.98,-0.123,2.808,-6.628,0.943,-0.08,-0.264,34.739,-1.02,-30.587,-30.175,-0.607,-28.574,-0.023,-0.072,0.981,-0.017,-0.086,0.979,,4,room,Low
03-52-20,2.693,0,1.0,1.0,3.785,3.5,0.493,0.633,0.489,0.601,0.004,-0.001,-0.03,0.124,-0.069,0.983,-0.177,2.809,-6.701,0.744,-0.073,-0.639,34.472,-0.932,-30.677,-30.547,-0.65,-27.824,-0.117,-0.065,0.985,-0.118,-0.068,0.984,,4,room,Low
03-52-21,3.061,0,1.0,1.0,3.989,3.577,0.43,0.658,0.427,0.625,0.001,-0.001,-0.029,-0.058,-0.155,0.966,-0.111,2.82,-6.618,0.593,-0.054,-0.753,35.39,-1.325,-30.177,-29.637,-0.66,-28.573,0.052,-0.153,0.966,0.058,-0.161,0.965,,4,room,Low
03-52-22,2.562,0,1.0,1.0,4.058,3.734,0.584,0.644,0.577,0.614,0.001,-0.001,-0.03,0.363,-0.111,0.918,-0.117,2.81,-6.595,-0.635,-0.1,-0.648,33.182,-0.838,-30.915,-31.796,-0.369,-28.973,-0.365,-0.11,0.919,-0.378,-0.108,0.913,,4,room,Low
03-52-23,1.701,0,0.984,0.952,3.528,2.985,0.422,0.647,0.446,0.607,0.003,-0.001,-0.026,-0.024,-0.043,0.924,-0.14,2.464,-5.823,-0.416,-0.077,-0.416,35.228,-0.982,-30.786,-29.666,-0.739,-28.785,0.033,-0.049,0.832,0.0,-0.044,0.776,,4,room,Low
03-52-24,1.608,0,1.0,1.0,4.162,3.874,0.39,0.61,0.385,0.583,0.005,-0.001,-0.029,-0.173,0.025,0.982,-0.1,2.801,-6.648,0.494,-0.074,-0.845,35.941,-0.826,-30.48,-28.935,-0.391,-28.241,0.168,0.032,0.982,0.169,0.013,0.983,,4,room,Low
03-52-25,1.794,0,1.0,1.0,4.315,4.082,0.453,0.615,0.452,0.586,0.012,-0.0,-0.03,0.014,-0.037,0.997,-0.107,2.805,-6.64,0.607,-0.101,-0.785,35.107,-0.607,-30.686,-29.97,-0.324,-27.771,-0.02,-0.03,0.998,-0.017,-0.048,0.997,,4,room,Low
