Time,fms,HR,individual,simulation,CSS
03-55-20,0,78.87,4,room,Low
03-55-21,0,78.65,4,room,Low
03-55-22,0,78.28,4,room,Low
03-55-23,0,77.98,4,room,Low
03-55-24,0,77.63,4,room,Low
03-55-25,0,77.3,4,room,Low
03-55-26,0,76.92,4,room,Low
03-55-27,0,76.53,4,room,Low
03-55-28,0,76.1,4,room,Low
03-55-29,0,75.72,4,room,Low
03-55-30,0,75.37,4,room,Low
03-55-31,0,75.02,4,room,Low
03-55-32,0,74.58,4,room,Low
03-55-33,0,74.18,4,room,Low
03-55-34,0,73.73,4,room,Low
03-55-35,0,73.27,4,room,Low
03-55-36,0,72.9,4,room,Low
03-55-37,0,72.5,4,room,Low
03-55-38,0,72.05,4,room,Low
03-55-39,0,71.57,4,room,Low
03-55-40,0,71.13,4,room,Low
03-55-41,0,70.63,4,room,Low
03-55-42,0,70.17,4,room,Low
03-55-43,0,69.75,4,room,Low
03-55-44,0,69.38,4,room,Low
03-55-45,0,69.15,4,room,Low
03-55-46,0,68.98,4,room,Low
03-55-47,0,68.77,4,room,Low
03-55-48,0,68.53,4,room,Low
03-55-49,0,68.35,4,room,Low
