Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
04-11-29,2.518,2,1.0,1.0,3.645,3.356,0.561,0.454,0.564,0.433,-0.004,0.004,-0.026,0.091,-0.227,0.969,370.594,1.827,406.251,-0.908,-0.392,-0.14,32.427,3.898,-25.783,-32.863,4.662,-26.079,-0.102,-0.224,0.969,-0.079,-0.227,0.97,,4,sea,High
04-11-30,2.913,2,0.718,0.689,2.558,2.206,0.532,0.426,0.53,0.416,0.013,0.003,-0.019,0.026,-0.078,0.992,261.346,1.317,289.871,-0.666,-0.146,0.101,32.703,4.576,-26.167,-32.713,5.504,-27.116,-0.027,-0.075,0.707,-0.013,-0.075,0.672,,4,sea,High
04-11-31,2.041,2,0.72,0.818,3.637,3.649,0.482,0.378,0.473,0.31,-0.0,0.005,-0.024,-0.047,-0.01,0.998,336.423,1.725,376.507,-0.781,-0.054,-0.429,33.478,5.182,-25.981,-31.998,6.024,-26.422,0.038,-0.005,0.895,0.052,-0.014,0.929,,4,sea,High
04-11-32,1.816,2,0.671,0.604,3.042,2.717,0.523,0.415,0.493,0.41,-0.002,0.004,-0.02,-0.016,-0.085,0.992,270.61,1.409,304.673,-0.631,-0.1,-0.163,33.452,5.031,-26.681,-31.543,5.279,-26.736,0.013,-0.088,0.785,0.023,-0.088,0.751,,4,sea,High
04-11-33,3.239,2,0.836,0.854,4.282,4.022,0.503,0.392,0.514,0.374,-0.025,0.005,-0.026,-0.035,-0.073,0.995,352.581,1.859,398.402,-0.761,-0.105,-0.635,33.463,4.943,-26.084,-31.998,5.5,-26.047,0.017,-0.067,0.996,0.036,-0.073,0.995,,4,sea,High
04-11-34,2.342,2,0.882,0.916,3.909,3.612,0.519,0.416,0.487,0.353,0.015,0.004,-0.025,0.047,-0.112,0.992,336.016,1.798,380.949,-0.733,-0.141,-0.571,33.008,4.448,-25.3,-32.427,5.149,-26.351,-0.051,-0.105,0.923,-0.031,-0.116,0.922,,4,sea,High
04-11-35,2.231,2,0.742,0.614,2.77,2.733,0.553,0.403,0.53,0.351,-0.004,0.004,-0.022,0.071,-0.075,0.967,283.585,1.544,322.644,-0.773,-0.081,-0.031,32.432,4.823,-25.796,-32.837,5.196,-27.256,-0.093,-0.04,0.732,-0.067,-0.078,0.764,,4,sea,High
04-11-36,3.753,2,0.868,0.963,4.023,3.832,0.494,0.381,0.506,0.363,-0.014,0.005,-0.026,-0.056,-0.032,0.996,337.467,1.87,386.217,-0.824,-0.035,-0.557,33.554,4.893,-25.526,-31.91,5.557,-25.92,0.051,-0.029,0.996,0.061,-0.033,0.996,,4,sea,High
04-11-37,4.829,2,0.753,0.913,3.553,3.232,0.455,0.365,0.462,0.343,0.014,0.005,-0.024,-0.13,0.02,0.988,305.653,1.732,352.983,-0.493,0.016,-0.685,34.164,5.175,-25.861,-31.21,5.864,-25.846,0.132,0.019,0.911,0.126,0.015,0.873,,4,sea,High
04-11-38,3.93,2,0.777,0.997,3.93,3.697,0.422,0.366,0.428,0.338,0.017,0.005,-0.026,-0.242,0.055,0.967,325.052,1.876,378.216,0.095,0.043,-0.978,34.645,5.038,-26.14,-30.585,5.772,-25.702,0.242,0.056,0.967,0.235,0.051,0.969,,4,sea,High
