Time,fms,EDA,individual,simulation,CSS
04-54-12,1,2.837,4,walk,Mid
04-54-13,1,2.799,4,walk,Mid
04-54-14,1,2.792,4,walk,Mid
04-54-15,1,2.79,4,walk,Mid
04-54-16,1,2.798,4,walk,Mid
04-54-17,1,2.837,4,walk,Mid
04-54-18,1,2.967,4,walk,Mid
04-54-19,1,2.962,4,walk,Mid
04-54-20,1,2.881,4,walk,Mid
04-54-21,1,2.792,4,walk,Mid
04-54-22,1,2.927,4,walk,Mid
04-54-23,1,3.368,4,walk,Mid
04-54-24,1,3.494,4,walk,Mid
04-54-25,1,3.284,4,walk,Mid
04-54-26,1,3.215,4,walk,Mid
04-54-27,1,3.083,4,walk,Mid
04-54-28,1,3.071,4,walk,Mid
04-54-29,1,3.178,4,walk,Mid
04-54-30,1,3.339,4,walk,Mid
04-54-31,1,3.368,4,walk,Mid
04-54-32,1,3.267,4,walk,Mid
04-54-33,1,3.18,4,walk,Mid
04-54-34,1,3.336,4,walk,Mid
04-54-35,1,3.636,4,walk,Mid
04-54-36,1,3.541,4,walk,Mid
04-54-37,1,3.344,4,walk,Mid
04-54-38,1,3.242,4,walk,Mid
04-54-39,1,3.162,4,walk,Mid
04-54-40,1,3.164,4,walk,Mid
04-54-41,1,3.153,4,walk,Mid
