Time,fms,HR,individual,simulation,CSS
01-01-20,2,66.82,7,roller,High
01-01-21,2,66.62,7,roller,High
01-01-22,2,66.37,7,roller,High
01-01-23,2,66.25,7,roller,High
01-01-24,2,66.12,7,roller,High
01-01-25,2,65.95,7,roller,High
01-01-26,2,65.8,7,roller,High
01-01-27,2,65.77,7,roller,High
01-01-28,2,65.68,7,roller,High
01-01-29,2,65.75,7,roller,High
01-01-30,2,65.88,7,roller,High
01-01-31,2,66.1,7,roller,High
01-01-32,2,66.38,7,roller,High
01-01-33,2,66.62,7,roller,High
01-01-34,2,66.97,7,roller,High
01-01-35,2,67.32,7,roller,High
01-01-36,2,67.67,7,roller,High
01-01-37,2,67.75,7,roller,High
01-01-38,2,67.88,7,roller,High
01-01-39,2,68.07,7,roller,High
01-01-40,2,68.27,7,roller,High
01-01-41,2,68.45,7,roller,High
01-01-42,2,68.7,7,roller,High
01-01-43,2,68.82,7,roller,High
01-01-44,2,68.95,7,roller,High
01-01-45,2,69.08,7,roller,High
01-01-46,2,69.22,7,roller,High
01-01-47,2,69.35,7,roller,High
01-01-48,2,69.53,7,roller,High
01-01-49,2,69.77,7,roller,High
