Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
12-35-43,2.536,0,1.0,1.0,4.175,4.128,0.615,0.391,0.557,0.466,-0.008,0.003,-0.022,0.087,-0.056,0.994,6.265,1.78,-17.867,-0.901,-0.229,0.367,28.897,3.854,-20.165,-30.972,2.155,-22.827,-0.078,-0.049,0.996,-0.091,-0.061,0.994,,7,room,Low
12-35-44,1.636,0,1.0,1.0,3.925,3.865,0.617,0.391,0.56,0.468,-0.003,0.003,-0.022,0.091,-0.065,0.994,6.262,1.78,-17.872,-0.904,-0.228,0.362,28.896,3.836,-19.901,-31.049,2.24,-23.104,-0.089,-0.058,0.994,-0.094,-0.071,0.993,,7,room,Low
12-35-45,3.502,0,0.984,0.988,3.985,3.914,0.537,0.403,0.475,0.475,-0.002,0.003,-0.022,-0.122,-0.081,0.955,1.336,1.778,-15.803,-0.899,-0.268,0.091,30.222,3.712,-20.418,-29.656,2.195,-23.407,0.129,-0.079,0.953,0.133,-0.086,0.951,,7,room,Low
12-35-46,3.497,0,1.0,0.999,4.089,3.946,0.54,0.38,0.475,0.451,0.004,0.003,-0.022,-0.149,0.019,0.961,-0.096,1.766,-15.221,-0.212,-0.338,-0.874,30.089,3.88,-20.373,-29.754,2.349,-23.311,0.138,0.024,0.963,0.153,0.021,0.96,,7,room,Low
12-35-47,3.426,0,1.0,1.0,4.433,4.271,0.57,0.374,0.511,0.447,-0.003,0.003,-0.022,-0.041,0.013,0.997,-0.036,1.769,-15.156,-0.067,-0.312,-0.948,29.669,4.178,-20.801,-30.211,2.502,-23.263,0.042,0.016,0.997,0.038,0.008,0.998,,7,room,Low
12-35-48,2.074,0,1.0,1.0,4.747,4.57,0.594,0.4,0.536,0.477,-0.005,0.003,-0.022,0.02,-0.075,0.997,-0.12,1.767,-14.993,-0.011,-0.3,-0.954,29.252,3.729,-20.336,-30.678,2.106,-23.434,-0.024,-0.068,0.997,-0.018,-0.083,0.996,,7,room,Low
12-35-49,2.586,0,0.771,0.822,3.759,3.881,0.533,0.436,0.47,0.499,0.004,0.002,-0.019,-0.113,-0.134,0.968,-0.101,1.518,-12.978,0.338,-0.413,-0.343,30.235,3.408,-21.212,-29.578,1.942,-23.776,0.095,-0.132,0.806,0.122,-0.14,0.832,,7,room,Low
12-35-50,3.479,0,0.903,0.856,4.846,4.754,0.536,0.453,0.467,0.51,0.0,0.002,-0.023,-0.127,-0.187,0.941,-0.085,1.745,-14.966,0.612,-0.584,-0.048,30.262,3.045,-21.618,-29.385,1.807,-23.922,0.128,-0.187,0.941,0.135,-0.184,0.941,,7,room,Low
12-35-51,1.88,0,0.87,0.857,3.866,2.99,0.581,0.378,0.525,0.441,-0.005,0.003,-0.021,-0.035,0.009,0.973,-0.055,1.595,-13.498,0.338,-0.344,0.723,29.416,4.297,-21.932,-30.494,2.701,-23.754,0.021,0.016,0.85,0.07,-0.006,0.702,,7,room,Low
12-35-52,3.685,0,0.984,0.909,4.691,4.63,0.626,0.367,0.567,0.435,-0.006,0.003,-0.023,0.14,0.055,0.954,-0.049,1.778,-14.991,0.116,-0.186,-0.923,28.896,4.424,-21.601,-30.972,2.795,-23.591,-0.135,0.059,0.955,-0.139,0.056,0.953,,7,room,Low
12-35-53,4.717,0,1.0,1.0,4.373,4.331,0.571,0.335,0.517,0.409,0.001,0.004,-0.021,-0.041,0.124,0.99,-0.07,1.803,-14.941,-0.022,0.173,-0.98,29.632,4.59,-19.653,-30.41,2.924,-22.461,0.043,0.123,0.99,0.041,0.12,0.99,,7,room,Low
12-35-54,5.244,0,1.0,1.0,4.013,4.013,0.571,0.334,0.519,0.41,0.002,0.004,-0.021,-0.05,0.098,0.991,-0.063,1.818,-14.937,-0.019,0.393,-0.916,29.583,4.655,-19.289,-30.51,2.914,-22.211,0.05,0.101,0.991,0.047,0.1,0.991,,7,room,Low
12-35-55,1.972,0,0.786,0.833,3.575,3.399,0.587,0.388,0.533,0.456,0.002,0.003,-0.018,-0.0,0.007,0.979,-0.051,1.576,-13.093,-0.035,0.132,-0.662,29.273,3.709,-19.32,-30.759,2.207,-22.458,-0.002,0.008,0.857,-0.004,0.015,0.828,,7,room,Low
12-35-56,1.693,0,1.0,1.0,4.605,4.561,0.605,0.411,0.544,0.476,0.001,0.002,-0.022,0.031,0.005,0.999,-0.063,1.763,-14.981,-0.046,-0.342,-0.938,28.942,2.936,-20.383,-30.898,1.637,-23.103,-0.031,0.013,0.999,-0.027,-0.002,0.999,,7,room,Low
12-35-57,2.78,0,1.0,1.0,4.84,4.75,0.609,0.421,0.551,0.49,-0.008,0.002,-0.022,0.051,-0.062,0.996,-0.071,1.768,-14.93,-0.029,-0.323,-0.944,28.921,3.07,-20.711,-30.963,1.536,-23.111,-0.051,-0.055,0.996,-0.053,-0.066,0.996,,7,room,Low
12-35-58,1.993,0,0.952,0.942,4.708,4.459,0.609,0.417,0.54,0.488,-0.007,0.002,-0.022,0.048,-0.1,0.981,-0.074,1.791,-14.924,-0.05,-0.164,-0.975,28.972,3.308,-20.099,-30.741,1.8,-23.022,-0.061,-0.099,0.98,-0.034,-0.108,0.98,,7,room,Low
12-35-59,0.989,0,0.851,0.854,4.5,4.292,0.625,0.467,0.525,0.538,-0.002,0.002,-0.022,0.04,-0.24,0.947,-0.066,1.785,-14.901,-0.048,-0.327,-0.908,28.618,2.559,-20.39,-30.487,1.094,-23.313,-0.087,-0.233,0.946,0.006,-0.244,0.946,,7,room,Low
12-36-00,2.438,0,1.0,1.0,4.599,4.476,0.599,0.412,0.54,0.489,-0.004,0.003,-0.022,0.02,-0.119,0.992,-0.06,1.8,-14.889,-0.041,-0.055,-0.997,29.035,3.523,-20.073,-30.783,1.958,-23.447,-0.016,-0.113,0.993,-0.024,-0.124,0.991,,7,room,Low
12-36-01,3.538,0,1.0,1.0,4.222,4.096,0.605,0.372,0.548,0.45,-0.007,0.003,-0.021,0.041,0.004,0.997,-0.057,1.8,-14.903,-0.039,0.064,-0.995,28.971,3.989,-19.564,-30.933,2.29,-22.661,-0.036,0.013,0.997,-0.044,0.003,0.996,,7,room,Low
12-36-02,2.532,0,0.915,0.944,4.148,4.021,0.593,0.385,0.539,0.457,-0.007,0.003,-0.021,0.019,-0.038,0.997,-0.046,1.743,-14.505,-0.054,-0.086,-0.925,29.187,4.091,-20.406,-30.767,2.437,-23.212,-0.005,-0.033,0.937,-0.023,-0.04,0.936,,7,room,Low
12-36-03,2.0,0,0.889,0.895,3.916,3.943,0.614,0.404,0.556,0.469,-0.003,0.002,-0.02,0.071,-0.016,0.988,0.0,1.577,-13.522,-0.149,-0.365,-0.7,28.821,3.5,-20.764,-31.014,2.108,-23.529,-0.069,-0.006,0.859,-0.078,-0.02,0.89,,7,room,Low
12-36-04,4.456,0,1.0,1.0,4.706,4.537,0.596,0.381,0.541,0.449,0.0,0.003,-0.022,0.025,0.062,0.998,0.016,1.746,-14.926,-0.067,-0.304,-0.95,29.175,3.596,-20.265,-30.791,2.115,-22.924,-0.022,0.064,0.998,-0.027,0.059,0.998,,7,room,Low
12-36-05,6.315,0,1.0,1.0,4.978,4.76,0.605,0.385,0.551,0.455,-0.002,0.003,-0.022,0.045,0.054,0.997,0.025,1.743,-14.902,-0.061,-0.303,-0.951,28.997,3.467,-20.024,-30.992,1.988,-23.01,-0.047,0.056,0.997,-0.045,0.052,0.997,,7,room,Low
12-36-06,8.892,0,1.0,1.0,5.029,4.757,0.611,0.387,0.558,0.458,0.001,0.003,-0.021,0.067,0.047,0.997,0.028,1.747,-14.914,-0.069,-0.278,-0.958,28.903,3.416,-19.887,-31.104,1.886,-22.848,-0.067,0.048,0.997,-0.067,0.046,0.997,,7,room,Low
12-36-07,1.563,0,0.855,0.853,4.9,4.717,0.611,0.453,0.526,0.527,-0.001,0.002,-0.022,0.028,-0.208,0.952,0.022,1.76,-14.894,-0.056,-0.4,-0.888,28.861,2.858,-20.524,-30.49,1.239,-23.21,-0.052,-0.2,0.953,0.006,-0.212,0.949,,7,room,Low
12-36-08,2.027,0,1.0,1.0,4.31,4.158,0.599,0.397,0.545,0.472,-0.004,0.003,-0.022,0.024,-0.051,0.996,0.023,1.782,-14.877,-0.063,-0.033,-0.996,29.109,3.576,-19.871,-30.892,2.03,-23.071,-0.026,-0.048,0.996,-0.032,-0.059,0.995,,7,room,Low
12-36-09,2.584,0,1.0,1.0,4.492,4.351,0.617,0.409,0.563,0.484,0.005,0.003,-0.021,0.081,-0.089,0.991,0.015,1.781,-14.865,-0.087,-0.073,-0.991,28.803,3.472,-20.099,-31.194,1.818,-22.962,-0.075,-0.085,0.991,-0.085,-0.094,0.99,,7,room,Low
12-36-10,2.77,0,1.0,1.0,4.427,4.267,0.615,0.365,0.565,0.441,0.0,0.003,-0.021,0.078,0.05,0.995,0.027,1.778,-14.855,-0.052,0.059,-0.996,28.822,3.999,-19.584,-31.25,2.317,-22.48,-0.072,0.056,0.995,-0.084,0.045,0.995,,7,room,Low
12-36-11,2.937,0,0.996,0.923,4.484,4.35,0.712,0.399,0.657,0.479,-0.005,0.003,-0.021,0.335,-0.044,0.932,-0.001,1.775,-14.892,-0.594,-0.072,-0.701,27.156,3.546,-19.857,-32.731,1.809,-22.86,-0.326,-0.039,0.936,-0.336,-0.047,0.932,,7,room,Low
12-36-12,3.456,0,0.998,1.0,3.954,3.845,0.627,0.393,0.571,0.465,-0.007,0.003,-0.022,0.111,-0.017,0.982,-0.069,1.781,-14.95,-0.969,-0.075,-0.171,28.658,3.709,-20.552,-31.301,2.142,-23.292,-0.102,-0.015,0.983,-0.112,-0.022,0.982,,7,room,Low
