Time,fms,HR,individual,simulation,CSS
12-36-15,0,89.48,7,room,Low
12-36-16,0,89.45,7,room,Low
12-36-17,0,89.45,7,room,Low
12-36-18,0,89.45,7,room,Low
12-36-19,0,89.43,7,room,Low
12-36-20,0,89.4,7,room,Low
12-36-21,0,89.37,7,room,Low
12-36-22,0,89.35,7,room,Low
12-36-23,0,89.33,7,room,Low
12-36-24,0,89.3,7,room,Low
12-36-25,0,89.27,7,room,Low
12-36-26,0,89.22,7,room,Low
12-36-27,0,89.2,7,room,Low
12-36-28,0,89.22,7,room,Low
12-36-29,0,89.27,7,room,Low
12-36-30,0,89.38,7,room,Low
12-36-31,0,89.55,7,room,Low
12-36-32,0,89.68,7,room,Low
12-36-33,0,89.8,7,room,Low
12-36-34,0,89.93,7,room,Low
12-36-35,0,90.03,7,room,Low
12-36-36,0,90.12,7,room,Low
12-36-37,0,90.13,7,room,Low
12-36-38,0,90.07,7,room,Low
12-36-39,0,90.07,7,room,Low
12-36-40,0,90.07,7,room,Low
12-36-41,0,90.08,7,room,Low
12-36-42,0,90.08,7,room,Low
12-36-43,0,90.08,7,room,Low
12-36-44,0,90.1,7,room,Low
