Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
12-53-22,3.635,0,0.994,0.999,3.711,3.667,0.547,0.4,0.478,0.466,-0.008,0.003,-0.023,-0.0,-0.148,0.985,-47.677,3.907,48.361,-0.03,0.084,0.996,30.791,4.566,-22.355,-29.006,2.734,-23.3,0.001,-0.142,0.985,-0.006,-0.146,0.986,,7,walk,Low
12-53-23,1.339,0,1.0,1.0,3.746,3.597,0.59,0.37,0.525,0.438,0.005,0.004,-0.022,0.109,-0.028,0.993,-47.664,3.896,48.392,-0.039,0.164,0.985,30.027,4.632,-21.228,-29.901,2.904,-22.855,-0.11,-0.021,0.993,-0.109,-0.035,0.993,,7,walk,Low
12-53-24,2.717,0,1.0,1.0,3.873,3.726,0.604,0.345,0.542,0.412,0.001,0.004,-0.022,0.143,0.088,0.985,-47.674,3.885,48.382,-0.032,0.259,0.965,29.728,4.795,-21.118,-30.247,3.026,-22.489,-0.141,0.093,0.985,-0.145,0.083,0.986,,7,walk,Low
12-53-25,2.545,0,0.978,0.983,3.856,3.773,0.602,0.366,0.535,0.433,-0.003,0.004,-0.022,0.127,0.011,0.982,-47.682,3.884,48.388,-0.026,0.161,0.963,29.695,4.689,-21.578,-30.127,2.847,-22.71,-0.119,0.01,0.982,-0.129,0.004,0.982,,7,walk,Low
12-53-26,2.941,0,1.0,1.0,3.917,3.795,0.593,0.355,0.522,0.421,0.003,0.004,-0.022,0.088,0.105,0.986,-47.681,3.874,48.477,-0.029,-0.159,0.987,29.793,4.656,-22.19,-29.892,2.753,-22.901,-0.08,0.108,0.987,-0.096,0.108,0.985,,7,walk,Low
12-53-27,1.219,0,0.93,0.154,3.873,-0.47,0.635,0.383,0.214,0.183,0.024,0.004,-0.021,0.178,0.056,0.98,-44.134,3.587,44.872,-0.033,-0.147,0.988,29.032,4.049,-22.242,-30.974,1.895,-22.933,-0.185,0.06,0.942,-0.021,0.009,0.109,,7,walk,Low
12-53-28,1.848,0,0.988,0.559,4.184,1.686,0.635,0.41,0.487,0.435,0.014,0.003,-0.022,0.219,0.001,0.976,-47.66,3.873,48.439,-0.038,-0.165,0.986,29.163,3.536,-22.235,-30.829,1.664,-22.953,-0.216,-0.002,0.976,-0.125,0.002,0.521,,7,walk,Low
12-53-29,3.162,0,1.0,1.0,3.673,3.614,0.613,0.419,0.547,0.485,0.003,0.003,-0.023,0.19,-0.102,0.972,-47.659,3.888,48.442,-0.024,-0.167,0.986,29.684,3.767,-22.188,-30.186,1.864,-23.04,-0.185,-0.106,0.972,-0.188,-0.1,0.972,,7,walk,Low
12-53-30,4.616,0,1.0,1.0,3.633,3.595,0.536,0.366,0.468,0.429,-0.01,0.004,-0.023,-0.011,-0.049,0.998,-47.712,3.904,48.458,-0.03,-0.17,0.985,31.089,5.031,-21.985,-28.772,3.261,-22.941,0.015,-0.047,0.998,0.008,-0.05,0.998,,7,walk,Low
12-53-31,3.225,0,1.0,1.0,3.736,3.657,0.534,0.35,0.467,0.418,0.0,0.004,-0.022,-0.023,0.016,0.999,-47.657,3.897,48.452,-0.032,-0.14,0.989,31.082,5.143,-21.742,-28.793,3.254,-22.751,0.031,0.021,0.999,0.019,0.014,0.999,,7,walk,Low
12-53-32,3.532,0,1.0,1.0,3.774,3.73,0.537,0.345,0.471,0.415,0.008,0.004,-0.022,-0.032,0.062,0.997,-47.573,3.892,48.469,-0.05,-0.051,0.997,30.933,5.098,-21.78,-28.92,3.154,-22.931,0.039,0.063,0.997,0.021,0.062,0.998,,7,walk,Low
12-53-33,3.263,0,1.0,1.0,4.032,3.898,0.55,0.354,0.486,0.424,0.005,0.004,-0.022,0.0,0.042,0.999,-47.591,3.892,48.471,-0.037,-0.043,0.998,30.669,4.974,-21.943,-29.198,2.983,-22.97,0.008,0.037,0.998,-0.01,0.042,0.998,,7,walk,Low
12-53-34,2.968,0,0.986,0.985,3.826,3.732,0.538,0.378,0.468,0.447,-0.01,0.004,-0.023,-0.028,-0.094,0.993,-47.596,3.905,48.461,-0.039,-0.074,0.991,30.907,5.125,-22.937,-28.843,3.098,-23.541,0.041,-0.094,0.993,0.025,-0.094,0.993,,7,walk,Low
12-53-35,2.876,0,0.933,0.914,3.656,3.667,0.509,0.423,0.438,0.491,0.001,0.004,-0.023,-0.107,-0.279,0.952,-47.565,3.945,48.458,-0.061,0.148,0.986,31.392,4.678,-22.906,-28.316,2.698,-23.331,0.119,-0.279,0.95,0.097,-0.28,0.953,,7,walk,Low
12-53-36,2.157,0,0.848,0.826,3.73,3.778,0.533,0.432,0.465,0.498,0.0,0.004,-0.023,-0.046,-0.311,0.949,-47.557,3.948,48.469,-0.044,0.184,0.982,30.926,4.565,-22.811,-28.796,2.628,-23.305,0.061,-0.309,0.949,0.033,-0.309,0.95,,7,walk,Low
12-53-37,2.806,0,0.888,0.855,4.064,4.025,0.537,0.388,0.465,0.453,-0.002,0.004,-0.023,-0.031,-0.154,0.977,-47.579,3.925,48.49,-0.046,-0.001,0.988,30.923,4.971,-22.282,-28.72,3.074,-23.029,0.039,-0.151,0.976,0.021,-0.145,0.979,,7,walk,Low
12-53-38,3.323,0,1.0,1.0,3.985,3.877,0.564,0.351,0.495,0.416,-0.003,0.004,-0.022,0.014,0.112,0.991,-47.608,3.885,48.479,-0.047,-0.117,0.991,30.311,4.709,-21.91,-29.41,2.905,-22.995,-0.008,0.109,0.991,-0.024,0.11,0.991,,7,walk,Low
12-53-39,3.842,0,1.0,1.0,3.933,3.795,0.629,0.422,0.561,0.485,0.005,0.003,-0.023,0.158,-0.051,0.985,-47.571,3.882,48.462,-0.038,-0.172,0.984,29.058,3.358,-22.013,-30.76,1.958,-24.269,-0.161,-0.05,0.985,-0.157,-0.056,0.985,,7,walk,Low
12-53-40,5.412,0,1.0,1.0,3.817,3.656,0.638,0.438,0.57,0.502,-0.001,0.002,-0.023,0.178,-0.104,0.978,-47.577,3.882,48.449,-0.058,-0.175,0.983,28.885,3.139,-22.033,-30.937,1.678,-24.191,-0.179,-0.105,0.978,-0.175,-0.104,0.979,,7,walk,Low
12-53-41,1.008,0,0.723,0.168,3.264,-0.329,0.642,0.429,0.516,0.454,0.021,0.003,-0.021,0.202,-0.113,0.97,-44.03,3.6,44.857,-0.031,-0.153,0.987,28.91,3.547,-21.994,-32.603,1.464,-26.443,-0.196,-0.108,0.86,-0.027,-0.02,0.144,,7,walk,Low
