Time,fms,HR,individual,simulation,CSS
12-52-50,0,93.78,7,walk,Low
12-52-51,0,93.48,7,walk,Low
12-52-52,0,93.25,7,walk,Low
12-52-53,0,93.05,7,walk,Low
12-52-54,0,92.73,7,walk,Low
12-52-55,0,92.4,7,walk,Low
12-52-56,0,91.97,7,walk,Low
12-52-57,0,91.57,7,walk,Low
12-52-58,0,91.22,7,walk,Low
12-52-59,0,90.82,7,walk,Low
12-53-00,0,90.4,7,walk,Low
12-53-01,0,89.98,7,walk,Low
12-53-02,0,89.55,7,walk,Low
12-53-03,0,89.08,7,walk,Low
12-53-04,0,88.67,7,walk,Low
12-53-05,0,88.52,7,walk,Low
12-53-06,0,88.37,7,walk,Low
12-53-07,0,88.2,7,walk,Low
12-53-08,0,88.17,7,walk,Low
12-53-09,0,88.12,7,walk,Low
12-53-10,0,88.08,7,walk,Low
12-53-11,0,88.05,7,walk,Low
12-53-12,0,88.05,7,walk,Low
12-53-13,0,88.03,7,walk,Low
12-53-14,0,88.05,7,walk,Low
12-53-15,0,88.03,7,walk,Low
12-53-16,0,88.07,7,walk,Low
12-53-17,0,88.05,7,walk,Low
12-53-18,0,88.03,7,walk,Low
12-53-19,0,88.02,7,walk,Low
