Time,fms,EDA,individual,simulation,CSS
04-13-04,2,5.413,8,beach,High
04-13-05,2,5.374,8,beach,High
04-13-06,2,5.353,8,beach,High
04-13-07,2,5.363,8,beach,High
04-13-08,2,5.368,8,beach,High
04-13-09,2,5.421,8,beach,High
04-13-10,2,5.712,8,beach,High
04-13-11,2,5.871,8,beach,High
04-13-12,2,6.056,8,beach,High
04-13-13,2,6.039,8,beach,High
04-13-14,2,5.925,8,beach,High
04-13-15,2,5.736,8,beach,High
04-13-16,2,5.619,8,beach,High
04-13-17,2,5.497,8,beach,High
04-13-18,2,5.454,8,beach,High
04-13-19,2,5.694,8,beach,High
04-13-20,2,5.908,8,beach,High
04-13-21,2,5.816,8,beach,High
04-13-22,2,5.695,8,beach,High
04-13-23,2,5.553,8,beach,High
04-13-24,2,5.567,8,beach,High
04-13-25,2,5.539,8,beach,High
04-13-26,2,5.498,8,beach,High
04-13-27,2,5.42,8,beach,High
04-13-28,2,5.334,8,beach,High
04-13-29,2,5.368,8,beach,High
04-13-30,2,5.49,8,beach,High
04-13-31,2,5.576,8,beach,High
04-13-32,2,5.497,8,beach,High
04-13-33,2,5.419,8,beach,High
