Time,fms,HR,individual,simulation,CSS
04-11-28,2,121.77,8,beach,High
04-11-29,2,121.83,8,beach,High
04-11-30,2,121.93,8,beach,High
04-11-31,2,122.02,8,beach,High
04-11-32,2,122.12,8,beach,High
04-11-33,2,122.23,8,beach,High
04-11-34,2,122.33,8,beach,High
04-11-35,2,122.4,8,beach,High
04-11-36,2,122.47,8,beach,High
04-11-37,2,122.53,8,beach,High
04-11-38,2,122.6,8,beach,High
04-11-39,2,122.63,8,beach,High
04-11-40,2,122.68,8,beach,High
04-11-41,2,122.72,8,beach,High
04-11-42,2,122.75,8,beach,High
04-11-43,2,122.77,8,beach,High
04-11-44,2,122.78,8,beach,High
04-11-45,2,122.8,8,beach,High
04-11-46,2,122.82,8,beach,High
04-11-47,2,122.85,8,beach,High
04-11-48,2,122.9,8,beach,High
04-11-49,2,122.97,8,beach,High
04-11-50,2,123.05,8,beach,High
04-11-51,2,123.12,8,beach,High
04-11-52,2,123.2,8,beach,High
04-11-53,2,123.25,8,beach,High
04-11-54,2,123.3,8,beach,High
04-11-55,2,123.33,8,beach,High
04-11-56,2,123.37,8,beach,High
04-11-57,2,123.42,8,beach,High
