Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
04-49-11,0.611,1,1.0,1.0,4.007,3.548,0.404,0.629,0.466,0.565,-0.005,0.0,-0.029,-0.035,-0.063,0.995,-41.712,10.048,2.471,-0.437,-0.398,-0.783,35.246,-0.749,-30.045,-29.44,1.093,-28.802,0.031,-0.039,0.997,0.037,-0.074,0.994,,8,roller,Mid
04-49-12,1.013,1,0.969,0.986,3.97,3.428,0.4,0.635,0.462,0.572,-0.005,0.0,-0.029,-0.036,-0.079,0.994,-49.941,6.377,-21.176,0.077,-0.058,-0.977,35.325,-0.818,-30.071,-29.349,0.952,-28.745,0.036,-0.06,0.995,0.039,-0.093,0.993,,8,roller,Mid
04-49-13,0.33,1,0.751,0.81,3.721,3.017,0.378,0.669,0.436,0.61,-0.006,-0.0,-0.029,-0.095,-0.235,0.966,-41.253,10.503,-44.97,0.742,-0.198,-0.571,35.779,-1.322,-29.713,-28.88,0.517,-28.63,0.079,-0.188,0.978,0.105,-0.262,0.957,,8,roller,Mid
04-49-14,0.193,1,0.815,0.858,3.901,3.121,0.368,0.669,0.43,0.611,-0.004,-0.0,-0.029,-0.123,-0.228,0.965,-17.489,11.34,-52.233,0.743,-0.448,0.312,35.966,-1.506,-29.624,-28.799,0.47,-28.563,0.1,-0.157,0.981,0.133,-0.262,0.954,,8,roller,Mid
04-49-15,0.555,1,0.95,0.969,3.448,3.317,0.387,0.603,0.446,0.543,-0.004,0.001,-0.03,-0.08,-0.029,0.989,-1.594,6.896,-35.006,-0.015,-0.186,0.956,35.576,0.013,-30.816,-29.058,1.686,-29.184,0.057,0.007,0.927,0.081,-0.036,0.989,,8,roller,Mid
04-49-16,0.96,1,1.0,1.0,3.78,3.229,0.442,0.619,0.505,0.561,-0.006,0.001,-0.03,0.06,-0.055,0.996,-0.072,5.902,-13.914,-0.011,-0.106,0.994,34.525,-0.337,-30.459,-30.211,1.283,-29.071,-0.058,-0.036,0.997,-0.056,-0.069,0.996,,8,roller,Mid
04-49-17,0.535,1,1.0,1.0,3.837,3.275,0.437,0.63,0.501,0.572,0.0,0.0,-0.03,0.047,-0.085,0.995,-0.063,5.902,-5.36,-0.0,-0.131,0.991,34.631,-0.578,-30.264,-30.146,0.988,-28.771,-0.048,-0.066,0.997,-0.046,-0.099,0.994,,8,roller,Mid
04-49-18,0.436,1,0.939,0.911,3.332,2.8,0.441,0.646,0.453,0.539,-0.003,0.0,-0.026,0.041,-0.113,0.991,-0.061,5.331,-0.61,-0.002,-0.154,0.986,34.572,-0.948,-29.993,-30.142,0.637,-28.616,-0.047,-0.09,0.897,-0.036,-0.117,0.862,,8,roller,Mid
04-49-19,1.491,1,0.907,0.841,2.91,2.336,0.469,0.642,0.533,0.598,0.005,-0.0,-0.021,0.081,-0.075,0.989,-0.018,4.146,2.7,0.224,-0.027,0.927,34.054,-0.734,-29.992,-30.605,0.714,-28.829,-0.092,-0.085,0.787,-0.09,-0.102,0.751,,8,roller,Mid
04-49-20,0.928,1,0.803,0.809,2.859,2.067,0.47,0.654,0.482,0.56,-0.001,-0.0,-0.022,0.074,-0.109,0.979,-0.023,4.394,5.87,0.227,-0.122,0.936,34.019,-0.963,-30.054,-30.583,0.276,-28.933,-0.09,-0.104,0.783,-0.074,-0.108,0.686,,8,roller,Mid
04-49-21,1.733,1,0.916,0.85,2.964,2.442,0.561,0.629,0.461,0.44,0.005,-0.0,-0.025,0.23,-0.071,0.962,0.033,4.955,10.081,0.602,-0.187,0.698,32.057,-0.38,-30.243,-32.476,0.422,-29.354,-0.214,-0.073,0.771,-0.207,-0.05,0.709,,8,roller,Mid
04-49-22,2.476,1,0.933,0.903,3.512,3.127,0.443,0.617,0.509,0.572,-0.004,0.001,-0.028,0.059,-0.047,0.981,0.06,5.521,13.171,0.706,-0.107,0.612,34.456,-0.242,-30.215,-30.242,1.197,-29.694,-0.045,-0.04,0.883,-0.053,-0.043,0.883,,8,roller,Mid
04-49-23,2.323,1,0.892,0.898,3.304,3.067,0.367,0.638,0.384,0.525,-0.009,0.001,-0.026,-0.075,-0.079,0.986,0.002,5.16,12.573,0.168,-0.071,0.974,36.033,-0.575,-30.679,-28.548,1.03,-29.428,0.073,-0.064,0.859,0.074,-0.091,0.886,,8,roller,Mid
