Time,fms,HR,individual,simulation,CSS
04-48-07,1,91.83,8,roller,Mid
04-48-08,1,91.77,8,roller,Mid
04-48-09,1,91.7,8,roller,Mid
04-48-10,1,91.63,8,roller,Mid
04-48-11,1,91.57,8,roller,Mid
04-48-12,1,91.5,8,roller,Mid
04-48-13,1,91.45,8,roller,Mid
04-48-14,1,91.42,8,roller,Mid
04-48-15,1,91.38,8,roller,Mid
04-48-16,1,91.37,8,roller,Mid
04-48-17,1,91.35,8,roller,Mid
04-48-18,1,91.33,8,roller,Mid
04-48-19,1,91.3,8,roller,Mid
04-48-20,1,91.25,8,roller,Mid
04-48-21,1,91.18,8,roller,Mid
04-48-22,1,91.12,8,roller,Mid
04-48-23,1,91.03,8,roller,Mid
04-48-24,1,90.95,8,roller,Mid
04-48-25,1,90.85,8,roller,Mid
04-48-26,1,90.75,8,roller,Mid
04-48-27,1,90.67,8,roller,Mid
04-48-28,1,90.58,8,roller,Mid
04-48-29,1,90.5,8,roller,Mid
04-48-30,1,90.43,8,roller,Mid
04-48-31,1,90.38,8,roller,Mid
04-48-32,1,90.33,8,roller,Mid
04-48-33,1,90.28,8,roller,Mid
04-48-34,1,90.23,8,roller,Mid
04-48-35,1,90.2,8,roller,Mid
04-48-36,1,90.17,8,roller,Mid
