Time,fms,HR,individual,simulation,CSS
04-49-43,1,91.08,8,roller,Mid
04-49-44,1,91.08,8,roller,Mid
04-49-45,1,91.1,8,roller,Mid
04-49-46,1,91.1,8,roller,Mid
04-49-47,1,91.1,8,roller,Mid
04-49-48,1,91.12,8,roller,Mid
04-49-49,1,91.17,8,roller,Mid
04-49-50,1,91.22,8,roller,Mid
04-49-51,1,91.27,8,roller,Mid
04-49-52,1,91.32,8,roller,Mid
04-49-53,1,91.35,8,roller,Mid
04-49-54,1,91.37,8,roller,Mid
04-49-55,1,91.35,8,roller,Mid
04-49-56,1,91.32,8,roller,Mid
04-49-57,1,91.3,8,roller,Mid
04-49-58,1,91.27,8,roller,Mid
04-49-59,1,91.23,8,roller,Mid
04-50-00,1,91.2,8,roller,Mid
04-50-01,1,91.17,8,roller,Mid
04-50-02,1,91.15,8,roller,Mid
04-50-03,1,91.13,8,roller,Mid
04-50-04,1,91.12,8,roller,Mid
04-50-05,1,91.1,8,roller,Mid
04-50-06,1,91.08,8,roller,Mid
04-50-07,1,91.08,8,roller,Mid
04-50-08,1,91.08,8,roller,Mid
04-50-09,1,91.08,8,roller,Mid
04-50-10,1,91.1,8,roller,Mid
04-50-11,1,91.13,8,roller,Mid
04-50-12,1,91.17,8,roller,Mid
