Time,fms,EDA,individual,simulation,CSS
04-38-48,2,4.143,8,sea,High
04-38-49,2,4.12,8,sea,High
04-38-50,2,4.102,8,sea,High
04-38-51,2,4.076,8,sea,High
04-38-52,2,4.067,8,sea,High
04-38-53,2,4.136,8,sea,High
04-38-54,2,4.195,8,sea,High
04-38-55,2,4.166,8,sea,High
04-38-56,2,4.122,8,sea,High
04-38-57,2,4.084,8,sea,High
04-38-58,2,4.341,8,sea,High
04-38-59,2,4.758,8,sea,High
04-39-00,2,4.711,8,sea,High
04-39-01,2,4.571,8,sea,High
04-39-02,2,4.432,8,sea,High
04-39-03,2,4.319,8,sea,High
04-39-04,2,4.257,8,sea,High
04-39-05,2,4.248,8,sea,High
04-39-06,2,4.23,8,sea,High
04-39-07,2,4.217,8,sea,High
04-39-08,2,4.201,8,sea,High
04-39-09,2,4.18,8,sea,High
04-39-10,2,4.162,8,sea,High
04-39-11,2,4.139,8,sea,High
04-39-12,2,4.13,8,sea,High
04-39-13,2,4.121,8,sea,High
04-39-14,2,4.107,8,sea,High
04-39-15,2,4.102,8,sea,High
04-39-16,2,4.096,8,sea,High
04-39-17,2,4.1,8,sea,High
