Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
03-51-30,0.466,1,0.614,0.14,3.168,3.203,0.612,0.459,0.565,0.39,-0.012,0.005,-0.027,0.117,-0.132,0.982,-48.153,4.08,48.439,-0.101,-0.264,0.957,30.903,3.412,-25.954,-32.65,6.556,-27.901,-0.181,-0.091,0.978,-0.09,-0.145,0.983,,8,walk,Mid
03-51-31,0.369,1,0.548,0.143,3.187,3.089,0.612,0.444,0.599,0.381,-0.016,0.006,-0.028,0.16,-0.104,0.98,-48.176,4.089,48.476,-0.033,-0.211,0.976,30.903,3.768,-26.051,-33.356,6.764,-28.04,-0.181,-0.058,0.981,-0.148,-0.126,0.98,,8,walk,Mid
03-51-32,0.397,1,0.546,0.1,3.167,3.084,0.625,0.448,0.615,0.39,-0.0,0.005,-0.027,0.192,-0.096,0.976,-48.178,4.088,48.486,-0.066,-0.191,0.979,30.629,3.642,-25.991,-33.705,6.557,-28.104,-0.212,-0.063,0.975,-0.173,-0.134,0.976,,8,walk,Mid
03-51-33,0.447,1,0.515,0.1,3.185,3.091,0.627,0.447,0.617,0.387,0.002,0.005,-0.027,0.198,-0.091,0.975,-48.185,4.087,48.482,-0.054,-0.187,0.98,30.591,3.675,-25.957,-33.729,6.594,-28.064,-0.216,-0.064,0.974,-0.177,-0.127,0.976,,8,walk,Mid
03-51-34,0.399,1,0.45,0.1,3.127,3.053,0.619,0.455,0.582,0.393,-0.003,0.005,-0.027,0.152,-0.121,0.977,-48.199,4.078,48.465,-0.108,-0.284,0.944,30.76,3.565,-26.177,-32.992,6.514,-27.931,-0.195,-0.085,0.975,-0.123,-0.153,0.977,,8,walk,Mid
03-51-35,0.585,1,0.65,0.318,3.065,3.095,0.549,0.378,0.579,0.355,-0.012,0.006,-0.027,0.139,-0.059,0.983,-48.214,4.076,48.468,-0.062,-0.271,0.953,30.997,4.008,-26.174,-32.89,7.153,-27.821,-0.168,-0.017,0.946,-0.125,-0.07,0.984,,8,walk,Mid
03-51-36,1.047,1,0.663,0.113,3.174,3.335,0.615,0.446,0.602,0.379,-0.008,0.005,-0.027,0.169,-0.06,0.983,-48.203,4.083,48.452,-0.043,-0.177,0.983,30.856,3.522,-25.548,-33.436,6.52,-28.029,-0.194,-0.041,0.979,-0.147,-0.077,0.986,,8,walk,Mid
03-51-37,1.232,1,0.516,0.095,3.042,3.178,0.617,0.455,0.605,0.388,-0.002,0.005,-0.027,0.171,-0.093,0.98,-48.195,4.081,48.444,-0.055,-0.193,0.979,30.784,3.589,-26.267,-33.515,6.381,-28.018,-0.188,-0.086,0.977,-0.15,-0.1,0.983,,8,walk,Mid
03-51-38,1.215,1,0.194,0.1,3.064,3.09,0.619,0.446,0.607,0.384,-0.008,0.005,-0.027,0.169,-0.097,0.981,-48.202,4.079,48.441,-0.038,-0.206,0.978,30.725,3.833,-26.238,-33.525,6.58,-28.002,-0.185,-0.081,0.979,-0.159,-0.112,0.981,,8,walk,Mid
03-51-39,0.994,1,0.333,0.1,3.199,3.341,0.613,0.46,0.589,0.394,-0.008,0.005,-0.027,0.135,-0.131,0.981,-48.203,4.079,48.427,-0.092,-0.237,0.963,30.826,3.527,-26.072,-33.242,6.396,-27.949,-0.172,-0.119,0.977,-0.114,-0.14,0.982,,8,walk,Mid
