Time,fms,HR,individual,simulation,CSS
03-57-22,3,128.83,8,walk,High
03-57-23,3,128.87,8,walk,High
03-57-24,3,128.92,8,walk,High
03-57-25,3,128.97,8,walk,High
03-57-26,3,129.0,8,walk,High
03-57-27,3,129.03,8,walk,High
03-57-28,3,129.07,8,walk,High
03-57-29,3,129.08,8,walk,High
03-57-30,3,129.12,8,walk,High
03-57-31,3,129.13,8,walk,High
03-57-32,3,129.15,8,walk,High
03-57-33,3,129.17,8,walk,High
03-57-34,3,129.18,8,walk,High
03-57-35,3,129.18,8,walk,High
03-57-36,3,129.2,8,walk,High
03-57-37,3,129.22,8,walk,High
03-57-38,3,129.18,8,walk,High
03-57-39,3,129.15,8,walk,High
03-57-40,3,129.12,8,walk,High
03-57-41,3,129.07,8,walk,High
03-57-42,3,128.97,8,walk,High
03-57-43,3,128.85,8,walk,High
03-57-44,3,128.72,8,walk,High
03-57-45,3,128.58,8,walk,High
03-57-46,3,128.43,8,walk,High
03-57-47,3,128.28,8,walk,High
03-57-48,3,128.13,8,walk,High
03-57-49,3,128.0,8,walk,High
03-57-50,3,127.88,8,walk,High
03-57-51,3,127.78,8,walk,High
