Time,fms,HR,individual,simulation,CSS
03-52-34,3,73.7,8,walk,High
03-52-35,3,73.98,8,walk,High
03-52-36,3,74.3,8,walk,High
03-52-37,3,74.6,8,walk,High
03-52-38,3,75.03,8,walk,High
03-52-39,3,75.5,8,walk,High
03-52-40,3,76.45,8,walk,High
03-52-41,3,77.33,8,walk,High
03-52-42,3,78.22,8,walk,High
03-52-43,3,79.13,8,walk,High
03-52-44,3,80.07,8,walk,High
03-52-45,3,80.98,8,walk,High
03-52-46,3,81.92,8,walk,High
03-52-47,3,82.77,8,walk,High
03-52-48,3,83.55,8,walk,High
03-52-49,3,84.35,8,walk,High
03-52-50,3,85.17,8,walk,High
03-52-51,3,86.0,8,walk,High
03-52-52,3,86.83,8,walk,High
03-52-53,3,87.65,8,walk,High
03-52-54,3,88.45,8,walk,High
03-52-55,3,88.55,8,walk,High
03-52-56,3,88.67,8,walk,High
03-52-57,3,88.82,8,walk,High
03-52-58,3,88.85,8,walk,High
03-52-59,3,88.9,8,walk,High
03-53-00,3,88.9,8,walk,High
03-53-01,3,88.93,8,walk,High
03-53-02,3,89.15,8,walk,High
03-53-03,3,89.43,8,walk,High
