Time,fms,HR,individual,simulation,CSS
11-51-28,0,74.28,9,beach,Low
11-51-29,0,74.17,9,beach,Low
11-51-30,0,74.13,9,beach,Low
11-51-31,0,74.07,9,beach,Low
11-51-32,0,74.03,9,beach,Low
11-51-33,0,74.0,9,beach,Low
11-51-34,0,73.95,9,beach,Low
11-51-35,0,73.95,9,beach,Low
11-51-36,0,73.92,9,beach,Low
11-51-37,0,73.82,9,beach,Low
11-51-38,0,73.75,9,beach,Low
11-51-39,0,73.68,9,beach,Low
11-51-40,0,73.65,9,beach,Low
11-51-41,0,73.58,9,beach,Low
11-51-42,0,73.55,9,beach,Low
11-51-43,0,73.48,9,beach,Low
11-51-44,0,73.4,9,beach,Low
11-51-45,0,73.28,9,beach,Low
11-51-46,0,73.18,9,beach,Low
11-51-47,0,73.03,9,beach,Low
11-51-48,0,72.98,9,beach,Low
11-51-49,0,72.97,9,beach,Low
11-51-50,0,72.67,9,beach,Low
11-51-51,0,72.38,9,beach,Low
11-51-52,0,72.12,9,beach,Low
11-51-53,0,71.93,9,beach,Low
11-51-54,0,71.78,9,beach,Low
11-51-55,0,71.7,9,beach,Low
11-51-56,0,71.62,9,beach,Low
11-51-57,0,71.58,9,beach,Low
