Time,fms,EDA,individual,simulation,CSS
12-01-10,2,2.487,9,roller,High
12-01-11,2,2.487,9,roller,High
12-01-12,2,2.485,9,roller,High
12-01-13,2,2.482,9,roller,High
12-01-14,2,2.481,9,roller,High
12-01-15,2,2.478,9,roller,High
12-01-16,2,2.479,9,roller,High
12-01-17,2,2.478,9,roller,High
12-01-18,2,2.474,9,roller,High
12-01-19,2,2.472,9,roller,High
12-01-20,2,2.472,9,roller,High
12-01-21,2,2.47,9,roller,High
12-01-22,2,2.471,9,roller,High
12-01-23,2,2.47,9,roller,High
12-01-24,2,2.469,9,roller,High
12-01-25,2,2.466,9,roller,High
12-01-26,2,2.465,9,roller,High
12-01-27,2,2.464,9,roller,High
12-01-28,2,2.465,9,roller,High
12-01-29,2,2.463,9,roller,High
12-01-30,2,2.461,9,roller,High
12-01-31,2,2.461,9,roller,High
12-01-32,2,2.459,9,roller,High
12-01-33,2,2.459,9,roller,High
12-01-34,2,2.455,9,roller,High
12-01-35,2,2.458,9,roller,High
12-01-36,2,2.452,9,roller,High
12-01-37,2,2.451,9,roller,High
12-01-38,2,2.451,9,roller,High
12-01-39,2,2.448,9,roller,High
