Time,fms,EDA,individual,simulation,CSS
12-00-06,1,2.598,9,roller,Mid
12-00-07,1,2.595,9,roller,Mid
12-00-08,1,2.594,9,roller,Mid
12-00-09,1,2.592,9,roller,Mid
12-00-10,1,2.59,9,roller,Mid
12-00-11,1,2.59,9,roller,Mid
12-00-12,1,2.592,9,roller,Mid
12-00-13,1,2.596,9,roller,Mid
12-00-14,1,2.597,9,roller,Mid
12-00-15,1,2.597,9,roller,Mid
12-00-16,1,2.592,9,roller,Mid
12-00-17,1,2.591,9,roller,Mid
12-00-18,1,2.585,9,roller,Mid
12-00-19,1,2.583,9,roller,Mid
12-00-20,1,2.579,9,roller,Mid
12-00-21,1,2.578,9,roller,Mid
12-00-22,1,2.575,9,roller,Mid
12-00-23,1,2.573,9,roller,Mid
12-00-24,1,2.57,9,roller,Mid
12-00-25,1,2.568,9,roller,Mid
12-00-26,1,2.567,9,roller,Mid
12-00-27,1,2.562,9,roller,Mid
12-00-28,1,2.561,9,roller,Mid
12-00-29,1,2.558,9,roller,Mid
12-00-30,1,2.555,9,roller,Mid
12-00-31,1,2.553,9,roller,Mid
12-00-32,1,2.551,9,roller,Mid
12-00-33,1,2.552,9,roller,Mid
12-00-34,1,2.549,9,roller,Mid
12-00-35,1,2.55,9,roller,Mid
