Time,fms,HR,individual,simulation,CSS
11-59-34,1,65.12,9,roller,Mid
11-59-35,1,65.07,9,roller,Mid
11-59-36,1,65.08,9,roller,Mid
11-59-37,1,65.05,9,roller,Mid
11-59-38,1,65.03,9,roller,Mid
11-59-39,1,65.12,9,roller,Mid
11-59-40,1,65.22,9,roller,Mid
11-59-41,1,65.25,9,roller,Mid
11-59-42,1,65.38,9,roller,Mid
11-59-43,1,65.52,9,roller,Mid
11-59-44,1,65.62,9,roller,Mid
11-59-45,1,65.68,9,roller,Mid
11-59-46,1,65.73,9,roller,Mid
11-59-47,1,65.75,9,roller,Mid
11-59-48,1,65.73,9,roller,Mid
11-59-49,1,65.68,9,roller,Mid
11-59-50,1,65.57,9,roller,Mid
11-59-51,1,65.42,9,roller,Mid
11-59-52,1,65.25,9,roller,Mid
11-59-53,1,65.05,9,roller,Mid
11-59-54,1,64.88,9,roller,Mid
11-59-55,1,64.73,9,roller,Mid
11-59-56,1,64.57,9,roller,Mid
11-59-57,1,64.38,9,roller,Mid
11-59-58,1,64.22,9,roller,Mid
11-59-59,1,64.07,9,roller,Mid
12-00-00,1,63.93,9,roller,Mid
12-00-01,1,63.8,9,roller,Mid
12-00-02,1,63.7,9,roller,Mid
12-00-03,1,63.63,9,roller,Mid
