Time,fms,HR,individual,simulation,CSS
12-04-22,5,66.65,9,roller,High
12-04-23,5,66.63,9,roller,High
12-04-24,5,66.6,9,roller,High
12-04-25,5,66.53,9,roller,High
12-04-26,5,66.47,9,roller,High
12-04-27,5,66.4,9,roller,High
12-04-28,5,66.3,9,roller,High
12-04-29,5,66.2,9,roller,High
12-04-30,5,66.08,9,roller,High
12-04-31,5,65.98,9,roller,High
12-04-32,5,65.93,9,roller,High
12-04-33,5,65.9,9,roller,High
12-04-34,5,65.88,9,roller,High
12-04-35,5,65.92,9,roller,High
12-04-36,5,65.97,9,roller,High
12-04-37,5,66.02,9,roller,High
12-04-38,5,66.07,9,roller,High
12-04-39,5,66.15,9,roller,High
12-04-40,5,66.25,9,roller,High
12-04-41,5,66.37,9,roller,High
12-04-42,5,66.45,9,roller,High
12-04-43,5,66.53,9,roller,High
12-04-44,5,66.6,9,roller,High
12-04-45,5,66.65,9,roller,High
12-04-46,5,66.7,9,roller,High
12-04-47,5,66.77,9,roller,High
12-04-48,5,66.85,9,roller,High
12-04-49,5,66.92,9,roller,High
12-04-50,5,67.0,9,roller,High
12-04-51,5,67.07,9,roller,High
