Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
12-42-49,2.719,0,0.986,0.923,3.685,3.161,0.651,0.462,0.614,0.461,0.0,0.007,-0.04,0.362,-0.081,0.928,0.056,1.827,-7.092,0.002,-0.098,-0.994,31.638,6.956,-39.865,-33.751,7.008,-40.699,-0.371,-0.076,0.925,-0.355,-0.085,0.929,,9,room,Low
12-42-50,0.837,0,1.0,0.993,3.848,3.338,0.651,0.455,0.62,0.456,-0.004,0.007,-0.04,0.371,-0.055,0.923,0.061,1.822,-7.125,-0.079,-0.091,-0.982,31.624,7.038,-39.823,-33.85,7.125,-40.806,-0.365,-0.046,0.927,-0.368,-0.064,0.924,,9,room,Low
12-42-51,0.765,0,0.785,0.792,3.232,2.477,0.464,0.377,0.53,0.514,0.005,0.006,-0.037,0.13,-0.143,0.944,0.05,1.678,-6.598,-0.103,-0.281,-0.695,32.789,6.477,-39.513,-32.281,6.646,-40.821,-0.153,-0.142,0.868,-0.112,-0.126,0.766,,9,room,Low
12-42-52,0.846,0,1.0,1.0,3.656,3.129,0.646,0.458,0.614,0.459,0.005,0.007,-0.04,0.354,0.002,0.932,0.094,1.809,-7.12,-0.001,-0.117,-0.991,31.728,6.712,-39.724,-33.741,7.032,-41.588,-0.36,0.015,0.93,-0.351,-0.01,0.933,,9,room,Low
12-42-53,1.208,0,1.0,1.0,3.805,3.212,0.66,0.462,0.635,0.465,-0.002,0.007,-0.041,0.391,-0.008,0.92,0.089,1.806,-7.141,-0.015,-0.089,-0.996,31.482,6.688,-39.759,-34.141,6.961,-41.729,-0.396,0.004,0.918,-0.386,-0.018,0.922,,9,room,Low
12-42-54,1.042,0,1.0,1.0,3.666,3.17,0.668,0.448,0.642,0.45,-0.003,0.007,-0.041,0.407,0.029,0.913,0.096,1.808,-7.153,-0.018,-0.011,-1.0,31.344,6.947,-39.795,-34.265,7.234,-41.823,-0.411,0.039,0.911,-0.404,0.02,0.914,,9,room,Low
12-42-55,0.884,0,0.801,0.805,3.072,2.801,0.515,0.442,0.454,0.443,0.001,0.006,-0.037,0.049,-0.126,0.968,0.057,1.618,-6.395,0.307,-0.264,-0.656,32.966,6.632,-41.095,-32.063,6.48,-41.207,-0.098,-0.13,0.897,-0.016,-0.138,0.893,,9,room,Low
12-42-56,4.15,0,1.0,0.995,3.442,2.967,0.657,0.475,0.629,0.475,-0.001,0.007,-0.042,0.374,-0.086,0.923,0.065,1.807,-7.119,-0.001,-0.102,-0.995,31.563,7.118,-41.67,-34.059,6.849,-41.488,-0.372,-0.089,0.924,-0.373,-0.084,0.924,,9,room,Low
12-42-57,2.744,0,1.0,1.0,3.591,3.053,0.664,0.471,0.637,0.47,-0.001,0.007,-0.042,0.388,-0.073,0.919,0.061,1.808,-7.131,-0.004,-0.101,-0.995,31.433,7.209,-41.65,-34.191,6.939,-41.565,-0.389,-0.079,0.918,-0.387,-0.067,0.919,,9,room,Low
12-42-58,3.113,0,1.0,1.0,3.713,3.201,0.675,0.463,0.648,0.459,-0.003,0.007,-0.042,0.425,-0.043,0.904,0.035,1.809,-7.15,-0.014,-0.101,-0.995,31.239,7.32,-41.7,-34.324,7.198,-41.675,-0.419,-0.044,0.907,-0.43,-0.041,0.902,,9,room,Low
