Time,fms,HR,individual,simulation,CSS
12-29-06,1,63.08,9,sea,Mid
12-29-07,1,63.07,9,sea,Mid
12-29-08,1,63.05,9,sea,Mid
12-29-09,1,63.03,9,sea,Mid
12-29-10,1,63.03,9,sea,Mid
12-29-11,1,63.03,9,sea,Mid
12-29-12,1,63.03,9,sea,Mid
12-29-13,1,63.13,9,sea,Mid
12-29-14,1,63.23,9,sea,Mid
12-29-15,1,63.32,9,sea,Mid
12-29-16,1,63.42,9,sea,Mid
12-29-17,1,63.53,9,sea,Mid
12-29-18,1,63.68,9,sea,Mid
12-29-19,1,63.85,9,sea,Mid
12-29-20,1,64.03,9,sea,Mid
12-29-21,1,64.2,9,sea,Mid
12-29-22,1,64.37,9,sea,Mid
12-29-23,1,64.53,9,sea,Mid
12-29-24,1,64.72,9,sea,Mid
12-29-25,1,64.9,9,sea,Mid
12-29-26,1,65.1,9,sea,Mid
12-29-27,1,65.28,9,sea,Mid
12-29-28,1,65.45,9,sea,Mid
12-29-29,1,65.6,9,sea,Mid
12-29-30,1,65.73,9,sea,Mid
12-29-31,1,65.83,9,sea,Mid
12-29-32,1,65.9,9,sea,Mid
12-29-33,1,65.98,9,sea,Mid
12-29-34,1,66.02,9,sea,Mid
12-29-35,1,66.03,9,sea,Mid
