Time,fms,HR,individual,simulation,CSS
12-31-14,4,66.58,9,sea,High
12-31-15,4,66.52,9,sea,High
12-31-16,4,66.42,9,sea,High
12-31-17,4,66.33,9,sea,High
12-31-18,4,66.28,9,sea,High
12-31-19,4,66.27,9,sea,High
12-31-20,4,66.27,9,sea,High
12-31-21,4,66.3,9,sea,High
12-31-22,4,66.35,9,sea,High
12-31-23,4,66.42,9,sea,High
12-31-24,4,66.48,9,sea,High
12-31-25,4,66.58,9,sea,High
12-31-26,4,66.68,9,sea,High
12-31-27,4,66.82,9,sea,High
12-31-28,4,66.95,9,sea,High
12-31-29,4,67.08,9,sea,High
12-31-30,4,67.23,9,sea,High
12-31-31,4,67.38,9,sea,High
12-31-32,4,67.53,9,sea,High
12-31-33,4,67.68,9,sea,High
12-31-34,4,67.83,9,sea,High
12-31-35,4,67.97,9,sea,High
12-31-36,4,68.08,9,sea,High
12-31-37,4,68.17,9,sea,High
12-31-38,4,68.23,9,sea,High
12-31-39,4,68.27,9,sea,High
12-31-40,4,68.32,9,sea,High
12-31-41,4,68.33,9,sea,High
12-31-42,4,68.32,9,sea,High
12-31-43,4,68.27,9,sea,High
