Time,fms,HR,individual,simulation,CSS
12-30-10,2,67.67,9,sea,High
12-30-11,2,67.73,9,sea,High
12-30-12,2,67.82,9,sea,High
12-30-13,2,67.8,9,sea,High
12-30-14,2,67.78,9,sea,High
12-30-15,2,67.75,9,sea,High
12-30-16,2,67.73,9,sea,High
12-30-17,2,67.72,9,sea,High
12-30-18,2,67.65,9,sea,High
12-30-19,2,67.57,9,sea,High
12-30-20,2,67.47,9,sea,High
12-30-21,2,67.4,9,sea,High
12-30-22,2,67.37,9,sea,High
12-30-23,2,67.37,9,sea,High
12-30-24,2,67.35,9,sea,High
12-30-25,2,67.32,9,sea,High
12-30-26,2,67.28,9,sea,High
12-30-27,2,67.23,9,sea,High
12-30-28,2,67.18,9,sea,High
12-30-29,2,67.15,9,sea,High
12-30-30,2,67.12,9,sea,High
12-30-31,2,67.1,9,sea,High
12-30-32,2,67.1,9,sea,High
12-30-33,2,67.12,9,sea,High
12-30-34,2,67.15,9,sea,High
12-30-35,2,67.18,9,sea,High
12-30-36,2,67.23,9,sea,High
12-30-37,2,67.28,9,sea,High
12-30-38,2,67.35,9,sea,High
12-30-39,2,67.42,9,sea,High
