Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
12-27-23,5.053,2,0.97,0.956,4.13,4.033,0.533,0.391,0.557,0.403,0.002,0.006,-0.025,0.031,-0.193,0.977,-60.177,2.653,76.616,0.999,0.022,-0.011,31.507,5.936,-25.817,-31.502,5.411,-25.087,-0.028,-0.194,0.977,-0.036,-0.198,0.976,,1,beach,High
12-27-24,4.976,2,0.957,0.954,4.215,4.046,0.554,0.393,0.579,0.407,-0.002,0.005,-0.025,0.078,-0.187,0.973,-60.163,2.661,76.632,0.985,0.164,-0.014,31.1,5.718,-25.307,-31.924,5.222,-25.084,-0.074,-0.185,0.973,-0.081,-0.186,0.972,,1,beach,High
12-27-25,3.206,2,0.99,0.992,4.691,4.507,0.536,0.345,0.562,0.352,0.01,0.006,-0.025,0.049,-0.056,0.997,-60.089,2.647,76.588,0.994,0.112,-0.015,31.482,6.294,-24.632,-31.553,6.055,-24.753,-0.047,-0.059,0.997,-0.054,-0.054,0.997,,1,beach,High
12-27-26,3.129,2,0.964,0.992,4.418,4.21,0.542,0.408,0.567,0.425,-0.003,0.005,-0.025,0.046,-0.224,0.97,-60.195,2.666,76.642,0.98,0.192,-0.01,31.277,5.52,-25.653,-31.722,4.921,-25.07,-0.04,-0.222,0.97,-0.051,-0.232,0.968,,1,beach,High
12-27-27,6.265,2,0.982,0.977,4.62,4.386,0.555,0.364,0.581,0.376,-0.002,0.006,-0.025,0.085,-0.102,0.987,-60.112,2.666,76.628,0.946,0.323,-0.015,31.127,5.924,-24.57,-31.964,5.619,-24.899,-0.084,-0.098,0.987,-0.087,-0.097,0.987,,1,beach,High
12-27-28,5.757,2,0.994,0.999,4.721,4.586,0.531,0.353,0.557,0.364,-0.001,0.006,-0.025,0.031,-0.065,0.997,-60.126,2.658,76.614,0.971,0.225,-0.02,31.516,6.11,-24.762,-31.51,5.81,-24.916,-0.023,-0.062,0.997,-0.035,-0.066,0.997,,1,beach,High
12-27-29,2.042,2,0.981,0.995,4.489,4.241,0.547,0.38,0.553,0.398,-0.005,0.005,-0.025,0.027,-0.101,0.992,-60.24,2.669,76.652,0.781,0.564,-0.034,31.223,5.461,-24.804,-31.531,5.022,-25.127,-0.061,-0.094,0.991,-0.01,-0.099,0.993,,1,beach,High
12-27-30,4.458,2,0.982,0.917,4.8,4.573,0.538,0.322,0.563,0.335,-0.0,0.006,-0.024,0.043,0.143,0.988,-60.215,2.686,76.628,0.5,0.863,-0.051,31.405,5.688,-23.671,-31.641,5.364,-24.102,-0.043,0.144,0.988,-0.044,0.148,0.987,,1,beach,High
12-27-31,4.191,2,0.888,0.784,5.183,4.993,0.526,0.308,0.554,0.318,-0.002,0.006,-0.024,0.023,0.181,0.983,-60.157,2.688,76.611,0.594,0.802,-0.043,31.63,5.976,-23.695,-31.446,5.663,-23.832,-0.018,0.177,0.984,-0.028,0.179,0.983,,1,beach,High
12-27-32,4.508,2,0.965,0.886,5.023,4.871,0.538,0.34,0.565,0.351,-0.004,0.005,-0.024,0.05,0.07,0.994,-60.136,2.68,76.625,0.748,0.655,-0.05,31.405,5.619,-23.968,-31.654,5.297,-24.089,-0.045,0.072,0.994,-0.054,0.071,0.993,,1,beach,High
