Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
12-12-22,1.11,2,1.0,1.0,3.291,3.136,0.532,0.34,0.542,0.381,-0.002,0.006,-0.026,0.046,-0.071,0.996,-0.005,5.885,10.899,-0.376,-0.016,0.926,31.943,6.705,-25.391,-31.266,5.477,-25.697,-0.075,-0.078,0.994,-0.021,-0.068,0.997,,1,roller,High
12-12-23,4.213,2,1.0,1.0,2.928,2.787,0.549,0.38,0.562,0.414,-0.014,0.005,-0.026,0.114,-0.163,0.973,-0.004,5.888,13.863,-0.084,-0.135,0.971,31.671,6.21,-26.219,-31.344,5.113,-26.016,-0.116,-0.166,0.972,-0.113,-0.163,0.972,,1,roller,High
12-12-24,4.543,2,1.0,0.99,3.236,3.077,0.504,0.303,0.511,0.337,-0.005,0.007,-0.026,-0.01,0.02,0.976,0.029,5.88,14.225,0.004,-0.043,0.965,32.312,7.37,-26.12,-30.471,6.256,-25.871,0.013,0.025,0.977,0.01,0.033,0.975,,1,roller,High
12-12-25,2.115,2,1.0,1.0,3.296,3.109,0.514,0.279,0.531,0.313,-0.007,0.007,-0.025,0.034,0.144,0.983,0.024,5.92,14.412,0.063,0.548,0.816,32.271,7.325,-25.564,-30.821,6.23,-25.327,-0.036,0.138,0.984,-0.037,0.147,0.983,,1,roller,High
12-12-26,4.834,2,1.0,1.0,3.288,2.986,0.501,0.403,0.514,0.436,-0.005,0.005,-0.026,-0.002,-0.206,0.967,0.024,5.91,14.627,0.029,0.202,0.912,32.412,5.743,-26.093,-30.542,4.673,-25.787,0.002,-0.207,0.968,0.004,-0.212,0.966,,1,roller,High
12-12-27,2.43,2,1.0,1.0,3.504,3.242,0.502,0.441,0.503,0.478,-0.006,0.005,-0.026,-0.023,-0.38,0.92,0.021,5.833,14.931,-0.01,-0.701,0.676,32.319,5.737,-26.588,-30.342,4.596,-26.309,0.014,-0.374,0.923,0.028,-0.387,0.917,,1,roller,High
12-12-28,1.917,2,1.0,1.0,3.961,3.702,0.52,0.424,0.515,0.459,-0.006,0.005,-0.027,0.016,-0.328,0.934,0.016,5.759,15.286,0.059,-0.917,0.366,31.999,5.909,-26.715,-30.494,4.838,-26.462,-0.031,-0.314,0.938,-0.01,-0.327,0.934,,1,roller,High
12-12-29,3.77,2,1.0,1.0,3.92,3.708,0.555,0.364,0.563,0.398,-0.012,0.006,-0.026,0.127,-0.153,0.975,0.025,5.788,15.461,0.201,-0.739,0.639,31.56,6.766,-26.763,-31.285,5.615,-26.113,-0.134,-0.154,0.974,-0.122,-0.159,0.974,,1,roller,High
12-12-30,4.112,2,1.0,1.0,3.903,3.705,0.584,0.343,0.59,0.375,-0.015,0.006,-0.026,0.203,-0.118,0.966,0.105,5.836,15.607,0.678,-0.442,0.537,31.116,7.184,-26.66,-31.641,6.075,-26.18,-0.209,-0.119,0.965,-0.205,-0.114,0.966,,1,roller,High
12-12-31,3.167,2,1.0,1.0,3.658,3.453,0.403,0.344,0.409,0.356,-0.004,0.007,-0.027,-0.207,-0.076,0.964,0.031,5.865,15.77,-0.303,-0.18,0.513,34.176,6.942,-26.95,-28.608,6.331,-26.146,0.205,-0.078,0.965,0.216,-0.067,0.964,,1,roller,High
12-12-32,2.667,2,1.0,1.0,4.323,3.818,0.356,0.31,0.367,0.354,-0.002,0.007,-0.027,-0.386,-0.018,0.921,-0.08,5.872,15.898,-0.817,-0.144,-0.532,34.555,7.572,-26.859,-28.293,6.209,-26.399,0.379,-0.014,0.923,0.386,-0.022,0.921,,1,roller,High
