Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
12-41-17,5.048,0,0.814,0.703,3.196,3.009,0.566,0.446,0.594,0.49,-0.002,0.004,-0.026,0.015,-0.186,0.977,-135.994,2.008,195.903,-0.455,-0.197,0.844,30.4,4.063,-25.461,-32.74,3.123,-27.108,-0.014,-0.186,0.977,-0.017,-0.182,0.978,,1,sea,Low
12-41-18,3.642,0,0.992,0.903,3.055,2.893,0.592,0.407,0.624,0.45,-0.008,0.004,-0.025,0.099,-0.03,0.982,-138.294,1.999,200.756,-0.385,-0.032,0.896,29.99,4.211,-24.242,-33.211,3.423,-26.516,-0.092,-0.029,0.982,-0.102,-0.03,0.98,,1,sea,Low
12-41-19,1.494,0,0.992,0.906,3.051,2.802,0.44,0.409,0.465,0.444,-0.001,0.004,-0.026,-0.345,-0.017,0.935,-140.651,2.005,206.456,-0.959,-0.018,0.268,32.489,4.137,-24.326,-30.6,3.626,-26.774,0.358,-0.013,0.929,0.324,-0.02,0.942,,1,sea,Low
12-41-20,2.569,0,0.957,0.824,3.136,2.964,0.594,0.425,0.629,0.467,-0.005,0.004,-0.026,0.103,-0.094,0.97,-144.006,2.008,212.212,-0.752,-0.064,0.576,29.936,4.034,-24.374,-33.281,3.247,-26.585,-0.098,-0.096,0.972,-0.121,-0.094,0.97,,1,sea,Low
12-41-21,3.584,0,0.977,0.866,2.993,2.808,0.567,0.422,0.601,0.464,-0.003,0.004,-0.026,0.027,-0.078,0.958,-148.593,2.015,217.535,-0.692,-0.028,0.618,30.378,4.104,-24.573,-32.891,3.32,-26.752,-0.016,-0.078,0.955,-0.029,-0.08,0.959,,1,sea,Low
12-41-22,2.745,0,0.969,0.845,3.07,2.896,0.553,0.408,0.586,0.445,-0.006,0.004,-0.026,-0.015,-0.034,0.988,-153.763,2.017,222.474,-0.91,0.002,0.357,30.668,4.228,-24.471,-32.625,3.574,-26.501,0.016,-0.03,0.988,0.003,-0.035,0.989,,1,sea,Low
12-41-23,2.032,0,0.994,0.851,3.183,2.982,0.557,0.389,0.59,0.426,0.002,0.004,-0.025,-0.006,0.047,0.987,-159.7,2.026,227.631,-0.634,0.099,0.744,30.554,4.31,-23.827,-32.689,3.632,-25.898,0.015,0.046,0.987,-0.007,0.039,0.988,,1,sea,Low
12-41-24,4.984,0,0.971,0.885,2.976,2.869,0.585,0.424,0.621,0.466,-0.015,0.003,-0.026,0.087,-0.091,0.986,-165.191,2.019,233.178,-0.578,-0.039,0.769,30.129,4.012,-24.311,-33.223,3.167,-26.268,-0.078,-0.094,0.987,-0.086,-0.091,0.985,,1,sea,Low
12-41-25,3.155,0,0.925,0.825,3.303,3.161,0.613,0.435,0.651,0.479,0.002,0.004,-0.026,0.149,-0.136,0.964,-170.929,2.022,238.566,-0.554,-0.127,0.738,29.602,4.036,-24.854,-33.697,3.019,-26.386,-0.146,-0.135,0.965,-0.164,-0.129,0.961,,1,sea,Low
12-41-26,4.845,0,0.992,0.901,3.085,2.967,0.598,0.404,0.637,0.444,-0.006,0.004,-0.025,0.118,-0.024,0.99,-176.502,2.019,243.952,-0.229,-0.023,0.961,29.861,4.098,-23.394,-33.554,3.56,-26.529,-0.11,-0.027,0.991,-0.117,-0.024,0.991,,1,sea,Low
